Team,HC_ADV
Hartford,1.72
Loyola Maryland,1.68
Morgan St,1.67
Robert Morris,1.63
Prairie View AM,1.62
Columbia,1.61
SE Missouri St,1.6
Cal St Fullerton,1.53
Maine,1.48
Hampton,1.47
Murray St,1.44
Sacred Heart,1.41
St Francis NY,1.39
Bryant,1.21
MD Baltimore Cty,1.13
Fairleigh Dickinson,0.32
