,team,abr,line,tor,hca,sportsref,sos
258,San Francisco,SANFR,San Fran.,San Francisco,San Francisco,San Francisco,San Francisco
259,San Jose State,SJSU,,San Jose St.,San Jose St,San Jose State,San Jose St
260,Santa Clara,SCU,Santa Clara,Santa Clara,Santa Clara,Santa Clara,Santa Clara
261,Seattle,SEA,,Seattle,,Seattle,Seattle
262,Seton Hall,SETON,Seton Hall,Seton Hall,Seton Hall,Seton Hall,Seton Hall
263,Siena,SIENA,Siena,Siena,Siena,Siena,Siena
264,South Alabama,USA,S. Alabama,South Alabama,South Alabama,South Alabama,S Alabama
265,South Carolina,SOCAR,South Carolina,South Carolina,South Carolina,South Carolina,S Carolina
266,South Carolina State,SCSU,SC State,South Carolina St.,South Carolina State,South Carolina State,S Car State
267,South Dakota,SODAK,South Dakota,South Dakota,,South Dakota,South Dakota
268,South Dakota State,SDKSU,S. Dak. St.,South Dakota St.,South Dakota State,South Dakota State,S Dakota St
269,South Florida,USOFL,South Florida,South Florida,South Florida,South Florida,S Florida
270,Southeast Missouri State,SEMO,SE Missouri St.,Southeast Missouri St.,Southeast Missouri St,Southeast Missouri State,SE Missouri
271,Southeastern Louisiana,SELU,SE Louisiana,Southeastern Louisiana,Southeastern Louisiana,Southeastern Louisiana,SE Louisiana
272,Southern,SUBR,,Southern,Southern,Southern,Southern
273,Southern Illinois,SOILL,S. Illinois,Southern Illinois,Southern Illinois,Southern Illinois,S Illinois
274,Southern Indiana,USI,So. Indiana,Southern Indiana,,Southern Indiana,S Indiana
275,Southern Methodist,SMU,SMU,SMU,Southern Methodist,SMU,S Methodist
276,Southern Mississippi,SOMIS,So. Miss,Southern Miss,,Southern Miss,S Mississippi
277,Southern Utah,SUU,,Southern Utah,Southern Utah,Southern Utah,S Utah
278,St. Bonaventure,STBN,St. Bona.,St. Bonaventure,St Bonaventure,St. Bonaventure,St Bonavent
279,St. Francis (PA),STFPA,St. Fran.-Pa.,St. Francis PA,St Francis PA,Saint Francis (PA),St Fran (PA)
280,St. John,STJ,St. John's,St. John's,St Johns,St. John's (NY),St Johns
281,St. Thomas-Minnesota,STTOM,St. Thomas (MN),St. Thomas,,St. Thomas,St. Thomas
282,Stanford,STAN,Stanford,Stanford,Stanford,Stanford,Stanford
283,Stephen F. Austin,SFA,SF Austin,Stephen F. Austin,Stephen F Austin,Stephen F. Austin,Ste F Austin
284,Stetson,STET,Stetson,Stetson,Stetson,Stetson,Stetson
285,Stonehill,STONE,Stonehill College,Stonehill,,Stonehill,Stonehill
286,Stony Brook,SB,Stony Brook,Stony Brook,Stony Brook,Stony Brook,Stony Brook
287,Syracuse,SYRA,,Syracuse,Syracuse,Syracuse,Syracuse
288,TCU,TCU,TCU,TCU,Texas Christian,TCU,TX Christian
289,Tarleton State,TARST,Tarleton St.,Tarleton St.,Tarleton St,Tarleton State,Tarleton St
290,Temple,TEM,Temple,Temple,Temple,Temple,Temple
291,Tennessee,TENN,Tennessee,Tennessee,Tennessee,Tennessee,Tennessee
292,Tennessee State,TNST,Tennessee St.,Tennessee St.,Tennessee St,Tennessee State,TN State
293,Tennessee Tech,TNTCH,Tenn. Tech,Tennessee Tech,Tennessee Tech,Tennessee Tech,TN Tech
294,Tennessee-Martin,UTM,UT Martin,Tennessee Martin,Tenn Martin,UT-Martin,TN Martin
295,Texas,TEXAS,Texas,Texas,Texas,Texas,Texas
296,Texas A&amp;M,TAMU,Texas A&M,Texas A&M,Texas AM,Texas A&M,Texas A&M
297,Texas A&amp;M Commerce,TAMUC,Texas A&M-Commerce,Texas A&M Commerce,Texas AM CC,Texas A&M-Commerce,TX A&M-Com
298,Texas A&amp;M-CC,TAMU-CC,TX A&M-CC,Texas A&M Corpus Chris,,Texas A&M-Corpus Christi,TX A&M-CC
299,Texas Southern,TEXSO,,Texas Southern,Texas Southern,Texas Southern,TX Southern
300,Texas State,TXST,Texas St.,Texas St.,Texas State,Texas State,Texas St
301,Texas Tech,TXTCH,Texas Tech,Texas Tech,Texas Tech,Texas Tech,Texas Tech
302,Texas-Arlington,UTA,UT Arlington,UT Arlington,Texas Arlington,UT Arlington,TX-Arlington
303,Texas-RGV,UTRGV,UT-Rio Grande Valley,UT Rio Grande Valley,,Texas-Rio Grande Valley,TX-Pan Am
304,Texas-San Antonio,UTSA,UTSA,UTSA,Texas San Antonio,UTSA,UTSA
305,The Citadel,CTDL,The Citadel,The Citadel,Citadel,The Citadel,Citadel
306,Toledo,U of T,Toledo,Toledo,Toledo,Toledo,Toledo
307,Towson,TOWS,Towson,Towson,Towson,Towson,Towson
308,Troy,TROY,,Troy,Troy,Troy,Troy
309,Tulane,TULAN,Tulane,Tulane,Tulane,Tulane,Tulane
310,Tulsa,TULSA,,Tulsa,Tulsa,Tulsa,Tulsa
311,UAB,UAB,UAB,UAB,UAB,UAB,UAB
312,UC Davis,UCD,UC Davis,UC Davis,UC Davis,UC-Davis,UC Davis
313,UC Irvine,UCI,UC Irvine,UC Irvine,UC Irvine,UC-Irvine,UC Irvine
314,UC Riverside,UCR,UC Riverside,UC Riverside,UC Riverside,UC-Riverside,UC Riverside
315,UC San Diego,UCSD,UC San Diego,UC San Diego,,UC-San Diego,UCSD
316,UC Santa Barbara,UCSB,UCSB,UC Santa Barbara,UC Santa Barbara,UCSB,UCSB
317,UCF,UCF,UCF,UCF,Central Florida,UCF,UCF
318,UCLA,UCLA,UCLA,UCLA,UCLA,UCLA,UCLA
319,UConn,UConn,UConn,Connecticut,Connecticut,UConn,Connecticut
320,UMBC,UMBC,UMBC,UMBC,MD Baltimore Cty,UMBC,Maryland BC
321,UMKC,UMKC,UMKC,UMKC,UMKC,Kansas City,Kansas City
322,UMass Lowell,UML,UMass Lowell,UMass Lowell,,UMass-Lowell,Mass Lowell
323,UNC Asheville,UNCA,UNC-Ash.,UNC Asheville,NC Asheville,UNC Asheville,NC-Asheville
