,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
270,Gonzaga,24,39.9,68.3,24.6,62.1,0.397,7.4,23.3,0.317,11.7,16.0,0.734,9.0,20.7,29.6,11.1,5.8,3.0,11.0,17.4
271,East Carolina,24,40.0,68.3,24.1,55.7,0.433,7.3,23.7,0.306,12.9,17.3,0.743,9.5,22.8,32.3,12.1,5.6,3.6,12.9,16.6
272,Texas A&M,24,40.2,68.2,23.5,56.8,0.413,8.4,25.0,0.336,12.8,17.9,0.718,8.4,20.9,29.3,13.8,5.0,5.4,10.8,19.3
273,Marquette,24,40.0,68.2,24.3,57.3,0.424,8.2,24.4,0.336,11.4,15.5,0.734,9.0,23.5,32.5,14.0,5.7,2.8,14.1,14.7
274,Western Carolina,25,40.4,68.2,25.0,61.1,0.409,5.8,17.5,0.33,12.5,18.2,0.686,8.1,23.2,31.4,8.6,5.4,2.5,9.7,16.4
275,Cal State Fullerton,24,40.2,68.1,23.8,54.9,0.433,6.6,21.0,0.315,13.9,19.6,0.707,8.9,24.0,32.8,12.4,6.8,2.8,12.9,19.3
276,Middle Tennessee State,24,40.6,68.1,25.4,57.8,0.439,5.8,18.0,0.323,11.5,16.3,0.708,8.7,23.0,31.7,10.8,6.7,3.3,11.2,16.7
277,Illinois-Chicago,25,39.9,68.1,23.6,56.9,0.414,5.6,19.4,0.287,15.4,20.6,0.748,8.0,24.1,32.0,11.5,6.7,3.4,11.2,14.2
278,Navy,23,40.4,68.0,23.5,52.5,0.447,7.6,22.9,0.333,13.5,19.3,0.697,8.2,24.6,32.7,13.4,4.8,5.0,14.0,18.4
279,Seattle,24,41.3,68.0,23.5,57.3,0.411,6.1,20.3,0.3,14.9,21.1,0.704,8.1,22.4,30.5,11.1,6.4,3.3,12.5,19.5
280,Kansas,25,40.2,68.0,24.1,60.4,0.399,8.0,24.7,0.324,11.8,16.9,0.7,8.4,21.9,30.3,12.2,6.9,2.8,11.5,16.3
281,Duquesne,24,39.9,68.0,23.8,56.0,0.424,6.4,19.4,0.33,14.0,20.1,0.698,9.3,23.0,32.3,12.0,5.8,3.7,12.4,17.6
282,Tennessee,23,39.8,68.0,22.7,58.7,0.387,7.2,23.3,0.31,15.3,21.5,0.709,9.9,23.1,33.0,10.9,6.4,2.7,12.3,17.9
283,Providence,25,40.6,67.9,24.8,60.6,0.409,6.6,20.2,0.325,11.8,16.2,0.733,8.6,23.7,32.2,10.0,6.8,3.0,12.4,17.9
284,Murray State,25,40.0,67.9,24.7,54.9,0.45,8.0,23.0,0.348,10.5,15.0,0.699,7.4,24.1,31.5,12.7,4.7,3.4,11.7,15.5
285,Bradley,25,40.4,67.9,23.6,55.9,0.422,7.1,21.0,0.337,13.6,19.2,0.712,8.6,21.8,30.4,11.9,6.8,1.8,12.3,15.6
286,Loyola (IL),24,39.9,67.9,22.8,57.0,0.4,7.5,20.9,0.357,14.9,20.8,0.714,7.5,23.3,30.9,11.4,6.5,3.5,11.7,16.8
287,Wisconsin,25,40.1,67.8,24.6,54.7,0.45,7.1,19.3,0.366,11.6,16.4,0.705,6.2,21.2,27.4,11.0,4.8,3.8,10.9,18.6
288,Texas,24,40.1,67.8,24.4,57.4,0.426,6.4,18.5,0.345,12.6,18.0,0.699,8.3,21.2,29.5,11.5,6.5,3.7,12.4,16.0
289,Duke,24,39.9,67.7,24.8,57.8,0.429,7.0,21.8,0.323,11.0,15.8,0.701,7.5,22.6,30.1,12.9,5.2,4.5,11.3,17.3
290,Texas Tech,24,40.1,67.7,24.8,58.9,0.422,7.7,23.2,0.33,10.3,14.9,0.695,9.7,21.1,30.8,11.6,5.7,3.6,11.4,16.6
291,Brigham Young,24,39.7,67.6,24.6,59.1,0.417,6.1,20.6,0.297,12.3,17.6,0.695,6.8,22.0,28.8,11.7,6.0,2.2,11.3,15.0
292,Illinois State,26,39.9,67.6,24.5,55.1,0.444,7.0,21.2,0.333,11.6,15.6,0.744,7.0,23.3,30.3,12.8,5.2,3.4,10.8,18.7
293,Grand Canyon,24,40.2,67.5,23.9,58.3,0.41,6.2,19.5,0.316,13.5,19.0,0.711,8.2,20.3,28.5,11.4,6.3,2.7,13.6,20.3
294,Eastern Illinois,25,40.0,67.5,23.4,52.5,0.445,7.2,20.5,0.351,13.6,18.6,0.733,7.1,25.1,32.2,13.6,5.3,4.3,14.0,14.4
295,Norfolk State,24,40.0,67.4,22.0,54.2,0.407,8.2,24.9,0.328,15.2,21.7,0.699,9.5,21.4,30.8,13.3,5.9,3.1,14.8,18.5
296,UC Davis,24,40.4,67.4,23.1,54.2,0.426,5.8,18.3,0.318,15.4,21.2,0.727,8.1,21.3,29.5,11.2,6.9,2.8,14.0,19.2
297,Mississippi State,24,39.8,67.4,23.5,58.0,0.404,7.0,24.3,0.288,13.5,18.3,0.734,8.4,21.9,30.3,11.3,7.5,3.3,12.0,17.8
298,Boise State,24,40.2,67.4,24.3,55.2,0.439,6.0,19.6,0.304,12.9,17.4,0.742,6.5,21.6,28.1,11.7,5.6,3.8,11.2,17.5
299,George Mason,25,39.9,67.2,23.0,57.4,0.401,8.3,24.0,0.346,13.0,17.8,0.728,8.6,21.0,29.6,11.3,6.7,3.6,9.8,18.1
300,Green Bay,26,40.4,67.2,23.7,55.5,0.428,5.8,19.7,0.297,13.9,19.2,0.723,8.2,20.8,28.9,12.1,6.3,3.8,9.2,15.1
301,Auburn,24,39.9,67.1,22.3,58.6,0.381,6.3,20.9,0.301,16.3,22.0,0.739,10.0,21.6,31.6,10.0,6.5,3.2,12.6,19.0
302,Lafayette,25,40.7,67.1,23.5,56.7,0.414,7.5,22.1,0.339,12.6,17.0,0.742,8.6,24.6,33.2,11.9,6.6,2.9,11.5,14.9
303,Tarleton State,24,40.2,67.0,23.5,54.4,0.432,6.8,19.8,0.34,13.3,19.8,0.673,9.5,22.0,31.5,12.0,5.7,3.9,14.1,16.7
304,St. Bonaventure,23,39.9,66.9,23.7,53.8,0.439,6.7,21.3,0.315,12.9,18.7,0.689,8.0,22.0,30.0,13.2,4.4,2.8,11.9,15.6
305,Appalachian State,25,41.0,66.9,25.2,65.0,0.389,6.7,21.5,0.31,9.7,14.2,0.685,8.8,23.4,32.3,10.8,7.2,2.4,11.0,16.5
306,Washington State,24,40.3,66.9,23.4,57.3,0.408,5.9,18.3,0.32,14.3,19.0,0.748,7.4,22.0,29.5,10.5,5.0,2.8,10.3,17.5
307,Cincinnati,24,40.3,66.9,24.3,58.6,0.414,6.5,20.2,0.322,11.9,16.2,0.735,7.5,21.2,28.7,12.4,6.6,3.7,11.2,16.7
308,Yale,22,40.7,66.9,23.9,57.9,0.413,8.0,23.8,0.337,11.0,14.7,0.752,6.7,22.6,29.3,13.6,5.5,3.5,10.8,16.0
309,Maine,24,40.0,66.8,24.6,55.4,0.444,5.5,18.1,0.306,12.0,18.3,0.66,8.0,24.4,32.5,12.9,6.2,3.5,13.0,14.9
310,San Diego State,25,40.5,66.8,23.4,57.2,0.409,7.3,23.9,0.304,12.8,18.2,0.705,8.3,21.8,30.2,11.9,6.2,2.8,12.3,19.4
311,Nevada,25,40.1,66.8,23.4,56.5,0.414,7.6,23.7,0.322,12.4,18.3,0.681,8.4,23.1,31.4,12.8,5.0,2.5,12.2,21.5
312,Longwood,26,40.6,66.8,23.8,54.8,0.434,6.8,20.5,0.331,12.4,18.5,0.672,6.8,20.0,26.8,11.2,6.3,2.7,13.2,19.8
313,Texas A&M-CC,24,40.0,66.8,21.2,52.2,0.406,6.0,19.8,0.305,18.3,25.4,0.721,7.0,24.4,31.4,11.2,6.9,4.5,15.0,18.9
314,North Carolina Central,22,40.5,66.7,23.4,57.4,0.408,5.4,21.0,0.258,14.5,20.0,0.723,10.4,23.7,34.0,12.5,5.9,3.7,13.7,17.9
315,Oklahoma,25,39.9,66.6,23.2,57.5,0.404,6.2,21.3,0.289,14.0,18.4,0.761,8.3,21.6,29.9,11.1,7.0,3.8,10.9,17.8
316,Pittsburgh,24,39.7,66.5,23.8,56.6,0.42,6.8,22.5,0.301,12.2,16.3,0.749,6.8,24.0,30.7,12.3,5.3,3.8,10.6,17.4
317,Villanova,24,40.8,66.5,23.7,57.0,0.416,7.8,24.1,0.323,11.3,15.8,0.718,7.0,23.4,30.4,13.2,5.7,4.2,10.5,15.0
318,Davidson,24,40.4,66.5,23.6,56.0,0.422,8.0,23.8,0.335,11.3,16.7,0.678,8.0,23.9,31.9,12.6,5.9,3.0,11.0,17.5
319,Central Connecticut State,24,40.1,66.4,24.8,58.4,0.424,7.0,20.5,0.342,9.9,15.2,0.652,8.1,22.5,30.6,13.7,7.3,3.3,13.0,15.5
320,Southern Illinois,25,40.2,66.4,24.1,54.2,0.445,4.8,16.5,0.293,13.3,19.1,0.695,7.5,21.0,28.5,10.5,5.9,3.5,10.4,17.7
321,UC Irvine,25,40.2,66.3,23.4,58.2,0.402,5.9,18.1,0.327,13.7,19.2,0.711,8.3,21.8,30.1,11.6,6.0,3.6,12.1,17.0
322,UCF,23,39.9,66.1,21.9,54.3,0.404,6.9,20.7,0.332,15.4,20.7,0.744,7.4,23.1,30.6,12.8,7.3,3.4,14.5,17.9
323,Merrimack College,25,40.4,66.1,23.7,57.3,0.413,6.0,18.4,0.324,12.8,18.1,0.706,11.2,24.2,35.4,14.0,7.1,3.4,15.7,16.8
324,Boston University,25,39.9,65.8,22.6,53.2,0.425,7.4,21.8,0.341,13.0,18.8,0.695,6.1,25.0,31.2,11.6,6.7,3.0,11.2,15.0
325,Notre Dame,24,40.4,65.8,23.7,57.3,0.414,7.0,20.9,0.337,11.3,15.6,0.725,8.0,23.0,31.1,12.1,7.0,3.3,10.1,14.5
326,Michigan State,24,40.1,65.6,22.4,56.2,0.399,7.7,24.4,0.316,13.1,18.0,0.727,8.3,21.9,30.2,12.2,5.3,2.9,11.9,17.8
327,San Francisco,26,40.1,65.3,22.4,53.0,0.422,6.8,20.8,0.326,13.7,19.6,0.7,6.2,20.6,26.7,10.7,6.1,1.9,14.2,15.8
328,California Baptist,23,40.0,65.2,24.0,55.3,0.434,4.7,14.6,0.319,12.5,17.0,0.737,6.9,22.7,29.6,10.5,5.3,3.1,10.7,18.9
329,VCU,24,40.1,65.1,22.4,56.7,0.395,5.7,19.9,0.287,14.6,19.8,0.737,8.5,21.1,29.6,10.0,7.2,2.4,10.1,17.4
330,Weber State,25,40.3,65.1,24.3,54.8,0.443,6.2,19.3,0.324,10.3,14.8,0.696,6.7,23.6,30.3,12.3,5.2,2.8,12.0,18.2
331,Richmond,23,40.0,65.0,23.4,59.3,0.395,7.3,24.6,0.299,10.9,15.3,0.712,8.7,26.8,35.5,11.1,4.5,2.9,11.5,15.3
332,Western Illinois,25,40.4,65.0,24.6,60.2,0.408,5.5,18.6,0.295,10.3,14.5,0.711,7.9,21.5,29.4,10.7,7.2,3.2,9.4,16.4
333,Jacksonville State,25,40.2,65.0,23.2,55.0,0.421,6.2,19.5,0.318,12.5,18.0,0.692,7.8,20.6,28.4,10.2,6.8,3.0,12.1,17.2
334,Rutgers,23,40.0,65.0,22.7,57.5,0.396,6.9,22.7,0.303,12.6,18.1,0.697,9.6,26.6,36.2,11.8,6.5,3.8,13.7,17.4
335,Drexel,25,40.1,64.9,23.6,58.4,0.404,6.8,21.4,0.318,11.0,15.6,0.704,7.7,20.7,28.4,10.6,5.3,2.8,8.9,16.0
336,St. Thomas-Minnesota,26,40.2,64.7,23.5,53.3,0.44,6.7,20.5,0.326,11.1,15.5,0.715,7.2,22.3,29.6,11.5,5.1,2.5,11.8,16.7
337,Princeton,20,40.0,64.7,24.0,56.3,0.427,6.8,21.0,0.321,10.0,13.4,0.743,7.3,21.7,29.0,11.5,5.0,2.9,10.5,15.8
338,Charlotte,23,40.3,64.7,23.2,55.5,0.417,6.3,20.3,0.309,12.1,16.3,0.739,8.5,21.3,29.8,10.7,5.5,2.6,9.3,16.3
339,Akron,24,40.2,64.6,23.9,56.1,0.426,6.3,20.7,0.304,10.6,15.7,0.674,7.4,21.3,28.7,11.6,6.2,2.5,11.6,17.2
340,Colgate,25,40.0,64.6,23.9,57.6,0.415,7.0,22.8,0.305,9.8,14.5,0.677,7.9,23.2,31.1,13.3,5.8,2.6,11.2,14.0
341,Saint Peter's,22,40.2,64.6,21.4,49.3,0.434,6.1,18.1,0.336,15.7,22.5,0.696,7.2,22.1,29.3,11.0,7.0,3.9,13.4,19.0
342,Southern Methodist,24,40.0,64.6,23.0,58.6,0.392,6.4,21.9,0.291,12.2,17.7,0.689,9.8,20.6,30.5,13.2,7.1,5.0,12.5,14.6
343,Towson,25,40.4,64.2,23.0,53.5,0.43,6.2,19.0,0.329,12.0,17.0,0.706,7.2,20.5,27.7,11.0,6.0,3.5,10.8,16.2
344,UConn,24,39.9,64.1,22.3,56.0,0.397,5.7,17.7,0.321,13.9,19.7,0.708,7.7,18.3,25.9,10.3,5.7,2.7,10.5,17.9
345,Dayton,24,39.9,64.0,24.3,59.5,0.408,7.1,23.0,0.309,8.3,12.0,0.697,9.4,21.5,30.9,12.3,5.5,2.6,9.5,16.4
346,UCLA,24,39.9,64.0,21.8,53.1,0.411,7.5,23.3,0.32,13.0,18.4,0.706,7.6,22.2,29.8,10.5,5.6,2.6,11.7,19.2
347,South Carolina,24,39.9,64.0,23.2,56.0,0.415,5.7,17.6,0.325,11.8,16.5,0.717,7.3,21.1,28.4,10.7,5.7,4.1,9.3,16.4
348,Liberty,25,40.3,63.9,23.5,55.0,0.428,5.5,17.8,0.308,11.4,16.0,0.711,7.0,23.8,30.8,9.3,5.6,3.6,11.7,15.7
349,Maryland,24,40.6,63.7,22.7,55.8,0.407,5.3,16.0,0.331,13.0,17.5,0.743,8.7,22.6,31.3,10.6,6.2,3.5,12.1,19.3
350,Army West Point,25,40.6,63.6,22.6,53.5,0.423,6.4,20.4,0.313,12.0,17.2,0.697,7.0,23.8,30.8,12.4,7.2,3.0,10.4,15.2
351,Louisiana Tech,24,40.3,63.6,22.4,57.4,0.39,6.5,19.9,0.325,12.4,17.7,0.699,8.4,21.0,29.4,9.9,6.8,3.1,12.9,18.4
352,Vermont,25,40.2,63.4,23.6,57.1,0.412,6.6,20.0,0.329,9.7,13.8,0.703,7.1,24.2,31.3,10.2,4.9,2.7,9.2,14.6
353,Wagner,22,40.4,62.8,23.0,54.0,0.425,6.7,22.2,0.301,10.2,15.0,0.682,7.9,24.8,32.6,14.0,4.6,3.1,10.8,13.7
354,Marist,22,40.0,62.2,21.6,52.2,0.413,6.3,20.0,0.316,12.7,18.7,0.68,8.1,23.1,31.2,9.5,6.5,2.6,13.6,14.7
355,Iowa State,24,40.0,62.0,20.7,51.4,0.403,7.9,23.3,0.339,12.7,17.8,0.714,8.5,20.9,29.5,12.5,6.0,3.3,17.4,18.9
356,Morehead State,25,39.9,61.8,22.0,57.3,0.384,5.4,19.0,0.283,12.5,17.2,0.727,8.0,18.9,26.9,9.2,6.0,2.3,10.5,16.4
357,McNeese State,25,40.0,61.4,20.5,53.9,0.38,8.2,26.0,0.315,12.2,17.1,0.715,9.7,21.2,30.8,12.2,4.5,3.1,15.4,18.1
358,North Texas,23,40.3,60.5,20.8,52.3,0.397,5.7,18.6,0.308,13.2,18.8,0.7,8.8,20.7,29.5,9.5,7.0,3.7,12.0,15.2
359,Virginia,25,39.8,58.3,20.7,52.2,0.396,6.6,21.1,0.315,10.3,14.0,0.732,8.0,23.0,30.9,10.6,5.3,2.7,12.3,13.3
360,Saint Mary's,26,40.2,57.7,20.4,52.8,0.386,4.8,15.9,0.305,12.0,17.1,0.703,6.3,19.1,25.4,9.3,5.2,2.5,10.9,16.0
361,Houston,24,40.0,54.7,18.0,48.5,0.371,5.9,20.6,0.287,12.8,19.9,0.644,7.8,20.9,28.7,11.2,4.8,2.8,15.1,15.9
