,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
175,Fresno State,24,40.3,72.2,27.2,59.7,0.455,8.1,21.5,0.375,9.8,14.7,0.666,8.9,21.3,30.2,13.0,6.5,3.5,10.3,16.1
176,Texas Southern,22,40.2,72.2,24.4,57.5,0.424,6.9,21.0,0.328,16.5,23.5,0.7,9.7,25.0,34.8,13.3,7.0,3.9,12.1,16.8
177,Quinnipiac,24,40.2,72.2,26.3,62.3,0.423,7.7,23.4,0.327,11.8,17.4,0.681,9.0,22.9,31.9,13.9,6.9,3.7,12.6,15.9
178,Omaha,26,40.2,72.2,25.0,56.1,0.446,8.7,24.4,0.354,13.5,18.3,0.739,7.4,24.3,31.7,12.6,5.3,2.5,10.8,18.5
179,Oregon State,24,41.1,72.1,24.9,57.7,0.432,7.0,22.0,0.321,15.2,21.3,0.716,9.7,22.6,32.3,14.0,6.6,3.2,11.4,19.4
180,Florida Gulf Coast,26,40.1,72.1,26.2,57.8,0.452,8.9,24.6,0.362,10.9,15.5,0.704,7.5,21.6,29.2,13.7,6.4,2.5,9.5,15.2
181,North Dakota,26,40.2,72.0,26.3,58.5,0.45,6.6,19.5,0.339,12.7,17.0,0.749,7.2,23.8,31.0,11.1,5.9,1.9,10.5,17.7
182,Iona,23,40.0,72.0,24.3,53.4,0.454,7.7,22.4,0.342,15.8,21.7,0.727,9.0,24.8,33.8,13.3,5.3,4.0,14.8,16.1
183,Miami (FL),24,39.9,71.8,26.9,63.0,0.427,8.7,28.3,0.307,9.4,13.3,0.711,8.6,22.6,31.3,15.3,7.3,3.5,11.5,15.6
184,Montana,25,40.1,71.8,25.9,57.0,0.454,6.4,18.3,0.348,13.7,19.0,0.718,7.4,23.2,30.6,12.0,5.4,3.4,10.0,15.7
185,Delaware State,23,41.0,71.8,25.0,56.3,0.445,8.5,22.4,0.38,13.2,19.2,0.687,8.1,21.7,29.8,12.9,7.4,2.4,14.3,18.8
186,Saint Joseph's,24,40.1,71.6,24.9,60.3,0.413,9.2,27.5,0.335,12.7,18.3,0.691,9.2,22.2,31.3,14.0,7.0,3.8,11.9,15.8
187,Ole Miss,24,39.9,71.6,26.0,60.3,0.431,7.4,22.6,0.327,12.2,17.3,0.708,10.3,22.2,32.5,14.4,6.4,3.4,12.3,16.8
188,New Mexico State,24,40.5,71.6,23.1,57.0,0.405,8.1,24.3,0.334,17.3,25.0,0.691,9.5,24.1,33.6,13.2,7.8,2.4,11.8,17.3
189,Idaho,24,40.2,71.5,24.8,54.7,0.454,7.8,21.5,0.363,14.1,19.6,0.719,7.8,23.5,31.4,13.5,6.2,3.6,11.0,15.3
