,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
272,263,North Alabama,ASun,23,12-13  6–5,104.0,111.8,.3031,49.6,50.8,15.6,14.5,27.7,28.5,33.7,41.5,48.2,50.8,34.9,33.8,34.7,36.2,68.2,-8.6
273,264,Cal St. Bakersfield,BW,22,10-14  5–8,99.1,106.5,.3026,46.2,50.1,17.7,19.1,31.9,33.6,31.2,44.7,46.6,49.5,30,34.1,24.8,37,64.9,-9.9
274,265,Rider,MAAC,23,8-16  5–8,103.4,111.3,.3016,46.3,51.4,17.9,15,33.1,28.3,29.8,38.7,45.2,51,32.7,34.6,28.7,40,67.8,-10.7
275,266,Portland St.,BSky,22,14-11  5–7,99.5,107.0,.3010,47.4,51.8,16.3,18.3,27.9,30.1,32.3,33.9,45.7,49.5,33.4,37.1,38.1,36.2,68.8,-7.2
276,267,Idaho,BSky,22,9-15  3–8,103.6,111.6,.3000,50.7,54.3,16.5,16.8,22.7,29.2,26.8,36.5,50.7,53.5,33.9,37.1,41.4,39.2,65,-11
277,268,Brown,Ivy,21,6-16  2–5,102.3,110.2,.2976,47.8,51.6,18,16.5,31.5,27.7,34.6,33.4,48.7,51.7,31,34.3,39.5,36.6,67.2,-12.2
278,269,Queens,ASun,24,10-16  4–7,104.2,112.4,.2945,49.8,54.2,16.1,15.4,27.4,30,33.4,30.1,50.8,55.8,32.2,34.3,41.1,35.2,73.1,-10.9
279,270,SIU Edwardsville,OVC,22,13-12  6–6,100.6,108.7,.2903,47.3,51.3,15.8,17.5,29.4,29.8,32.9,34.8,45.6,49.2,33.5,36.4,37.1,38.4,65.2,-8.4
280,271,American,Pat,24,13-12  7–5,103.7,112.2,.2879,53.1,53.6,17.3,16.7,27.9,25.4,27.3,29.5,53.7,53.2,34.9,36,45.7,41.8,63.4,-8.9
281,272,The Citadel,SC,22,9-16  1–11,101.0,109.4,.2867,49.9,52.5,17.9,15.2,26.8,25.9,31.5,20.7,50.3,53.4,32.9,34,34.5,40.6,64.9,-11.9
282,273,Nicholls St.,Slnd,21,13-11  8–3,102.3,110.8,.2853,49.4,50.3,18.2,16.5,27.5,34.1,36.8,36.7,47.7,50.5,34.7,33.3,38.3,36.3,65.7,-6.2
283,274,Howard,MEAC,22,10-14  4–3,105.0,113.8,.2844,51.2,51,20.7,16.5,32,32,39.3,37.6,49.5,50.7,35.9,34.3,37.8,35.8,68,-10.4
284,275,Central Michigan,MAC,23,14-10  8–3,95.4,103.7,.2780,47.4,48.9,18.1,16.8,27.6,29.9,28,30.2,48.4,50.4,30.2,31.1,33.6,41.3,66,-5
285,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
286,276,Southeastern Louisiana,Slnd,22,12-13  7–5,100.4,109.1,.2764,48.3,51.5,21.1,17.3,31,30.8,34.2,29.3,47.1,51.1,33.4,34.6,38.3,45.5,64.4,-7.8
287,277,Utah Tech,WAC,23,10-14  6–7,98.5,107.2,.2742,50.1,50,21.9,18.6,27.5,32,39.6,42.6,49.2,50.6,34.5,32.7,34.6,36.9,70.1,-9.4
288,278,Tennessee St.,OVC,22,15-11  8–5,99.3,108.0,.2740,49.2,49.1,19.5,18.6,28.2,31.3,35.7,44.9,49.9,49.2,32,32.6,36,33.6,67.6,-7.8
289,279,Robert Morris,Horz,23,10-15  6–8,103.5,112.7,.2721,51,53.9,20.2,17.4,35.3,28.9,30.8,37.3,51.8,55.3,33.2,34.2,40.9,35.7,67.7,-11.3
290,280,Albany,AE,23,11-13  3–6,102.0,111.1,.2718,49.4,51.2,18.4,16.8,30.9,29.3,31.7,37.6,50.7,54.5,31.5,28.6,36.9,28.2,73.9,-9.2
291,281,USC Upstate,BSth,21,8-16  3–8,101.9,111.1,.2702,49.4,53.7,16.4,18.3,24.9,32.7,28.5,45.6,50.4,54.4,32,35,40.4,36,66.8,-11.8
292,282,UTSA,Amer,23,8-16  2–9,108.0,117.7,.2698,48.8,53.4,15.4,13.2,31.7,30,35.6,34.9,47.8,50.3,33.4,39,43.9,37.8,70.5,-11.9
293,283,Middle Tennessee,CUSA,22,9-15  3–6,94.8,103.6,.2654,45.2,49.8,21.9,16.6,30.1,30.4,31.6,28.2,47.1,49.7,28.3,33.4,41,30.3,64.7,-10.9
294,284,Binghamton,AE,21,11-12  3–7,100.1,109.5,.2625,47.8,49.8,18.3,13,29.3,25,34.1,34.8,50.3,48.8,27.9,34.3,29.9,37.4,67.1,-8.3
295,285,Old Dominion,SB,24,6-19  2–10,98.5,108.0,.2571,48,52,15,18.5,24.6,30.3,26.3,39.7,47.4,50.7,32.8,35.8,34.5,43.9,70,-14.4
296,286,Jackson St.,SWAC,24,10-14  6–5,99.9,109.7,.2527,46.4,52.4,19.6,19.3,33.8,32.7,34.3,36.6,45.3,52.5,32.2,34.9,34.4,39.6,69.8,-8.9
297,287,Portland,WCC,24,9-17  3–8,103.3,113.5,.2522,50.6,55.5,17.9,13.8,23,29.3,32.8,25.2,50.9,54.8,33.5,37.5,45,46.7,69.2,-11.1
298,288,Chicago St.,ind,26,11-17  0–0,98.0,107.8,.2501,45.7,52.8,20.6,21.6,32,35.4,38.8,36,46,55.2,30.1,32.3,34.7,35.6,64.9,-11.6
299,289,Valparaiso,MVC,24,6-19  2–12,99.7,109.8,.2480,46,52.7,15.9,17.1,25.2,31.6,25.4,32.2,44.9,52.2,32.1,35.8,35.3,35.1,67.9,-13.2
300,290,FIU,CUSA,23,8-16  3–6,101.1,111.5,.2448,49.1,56.7,19.3,25.2,28.2,36.6,27.7,37.5,49.2,55,32.8,39.7,41,39.1,70.6,-11.7
