,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
0,1,Houston,B12,24,21-3  8–3,118.4,85.7,.9763,49.4,43.2,13.5,25,39.1,28,29.3,40.9,48,43.3,34.6,28.7,35.1,42.5,63.6,5.8
1,2,Purdue,B10,24,22-2  11–2,126.8,93.2,.9718,56.4,47.1,16.3,14.4,36.8,23.9,42.8,22.5,54.3,47.4,40,31,36.1,38,68.3,8.5
2,3,Connecticut,BE,24,22-2  12–1,124.3,94.7,.9580,57.2,44.8,15.4,16.9,36.4,27.1,35.1,35.1,59.2,43.3,36.3,32.1,41,31.5,64.9,6.7
3,4,Arizona,P12,24,19-5  10–3,122.3,94.9,.9483,54.7,49.5,15.8,18.9,37.3,23.1,35.9,25.4,54.5,47.8,36.8,34.7,31.8,39,72.6,4.7
4,5,Auburn,SEC,24,19-5  8–3,118.7,92.3,.9478,52.6,43.5,14.8,19,34.4,29.6,38.4,37.6,54.7,42.5,32.9,30.1,38.2,35.7,70,3
5,6,Iowa St.,B12,24,19-5  8–3,115.9,90.1,.9476,53.3,47.9,15.8,26.3,33.2,29.1,38.4,34.6,53.3,45.6,35.5,33.9,31.9,45.2,68.3,3.4
6,7,Alabama,SEC,24,17-7  9–2,126.9,100.1,.9385,57.2,49,16.7,16.4,35.4,29.2,36.4,37.9,57.1,49.8,38.2,31.7,48.1,36.6,72.4,3.2
7,8,Tennessee,SEC,23,17-6  7–3,118.3,93.8,.9354,52,44.9,14.5,18.5,32.8,29.3,34,36.6,52.5,43.8,34.2,31,41.3,39.6,69.2,3.6
8,9,BYU,B12,24,18-6  6–5,121.4,97.1,.9289,56.2,46.9,15.6,16.7,33.3,23.9,24.3,29.8,58.4,48.1,36,29.7,50.4,34.9,69.3,2.1
9,10,Marquette,BE,24,19-5  10–3,117.8,94.6,.9263,55.2,49.6,14.7,22.2,26.7,29.5,26.1,27.1,57.2,48.9,35,33.6,41.7,42.6,69.6,4.8
10,11,Illinois,B10,24,18-6  9–4,122.6,98.5,.9252,53.2,45.9,15.5,13.1,36.2,25.5,34.5,25.5,54.2,44.9,34.6,32.3,39.6,27.6,70.1,2.5
11,12,Kansas,B12,24,19-6  7–5,117.1,94.8,.9188,54.9,46.9,16.4,17.4,25.5,26.8,31.7,28.5,55.8,45,35.3,33,30.3,40.6,68.8,3.9
12,13,Saint Mary's,WCC,25,20-6  11–0,114.3,92.6,.9182,51.4,44.3,16.1,17.7,39.1,23.4,28.1,33.2,52.2,42.9,33.4,31.6,37.6,29.6,62.3,0.4
13,14,North Carolina,ACC,25,19-6  11–3,116.6,94.7,.9157,51.3,46.6,14.5,15.6,33,24.4,38.1,28.1,50,47.3,35.7,30.4,35.9,36.6,70.6,3.7
14,15,Michigan St.,B10,24,15-9  7–6,117.6,96.1,.9114,53.2,46.8,14.7,18.6,29.4,29.2,31.6,32,52.2,46.3,37.1,31.6,30.9,43.5,65.5,0.3
15,16,Baylor,B12,23,18-6  7–4,122.3,100.4,.9061,56.6,50.6,17.4,18.2,35.8,28,39.6,31.6,53.4,51.4,41.2,32.8,37.9,34.8,66.1,3.4
16,17,Duke,ACC,24,19-5  10–3,118.8,97.9,.9026,54.8,49,13.8,17.3,29.3,24.7,35.5,27.3,54.6,49.4,36.8,32.3,36.8,37.8,68,2.4
17,18,Creighton,BE,25,18-7  9–5,118.1,97.8,.8971,57.6,45.9,15.3,11,26,24.8,25,16.3,60.6,44.6,36.3,33,48.5,26.8,66.9,2.2
18,19,Florida,SEC,24,17-7  7–4,120.5,99.9,.8966,51.3,48.7,16.6,14.8,40.2,28.5,36.7,32,51.9,48,33.4,33.4,34.7,32.2,71.2,1.9
19,20,Gonzaga,WCC,23,18-6  8–2,117.7,97.6,.8963,55.3,46.3,14.6,16.7,33.8,25.7,32.1,26.2,57.7,45,33.5,32.3,32.6,37.4,69.8,0.4
20,21,Wisconsin,B10,25,17-8  9–5,118.2,98.4,.8918,52.3,51.4,15.4,16.9,30.9,23.8,35.1,30,53,49.5,34.1,36.6,35.3,35.3,64.9,2.7
21,22,Texas,B12,24,16-8  5–6,118.5,98.6,.8917,54.6,48.1,17.4,19,31.4,29.9,29.4,31.4,53.5,46.4,37.7,34.5,34.7,32.2,66.7,0.7
22,23,New Mexico,MWC,24,20-5  8–4,116.4,97.0,.8909,52.7,48.2,14,20.4,32.7,27.1,34.4,34.9,52.6,49.1,35.3,31,29.7,35.1,73.4,1.5
23,24,Texas Tech,B12,24,18-6  7–4,120.0,100.2,.8885,53.8,48.7,15.9,17.6,30.9,30.4,33.5,25.3,52.2,48.1,37.5,33,40.8,39.4,65.8,2.3
24,25,Kentucky,SEC,24,17-7  7–4,122.2,102.4,.8838,56.7,48.6,13.4,16.4,28.9,30.2,29.1,32.2,54.1,49,40.7,32,36.9,41,72.4,0.9
25,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
26,26,San Diego St.,MWC,23,19-6  8–4,112.7,94.6,.8826,51.1,47.9,16.2,18.7,30.9,27.4,39.7,33.2,52.4,49.6,32.6,30.4,37.9,40.9,67.2,3
27,27,Dayton,A10,24,20-4  10–2,117.6,98.9,.8800,55.8,46.8,15.1,15.9,27.3,29.9,37.5,20.1,53.5,47,39.2,30.9,44.3,38.7,63.4,3.6
28,28,Mississippi St.,SEC,24,16-8  5–6,111.6,93.9,.8796,51.1,46.4,18.6,18.1,34.4,26.4,36.2,31.6,53.5,48.8,31.6,28.8,39.8,41.9,68.1,1.1
29,29,St. John's,BE,25,14-11  6–8,116.5,98.0,.8794,49.5,48.6,16.7,18.8,39.2,31,27.3,34.8,49.6,47.9,33,33.3,33.3,35.5,69.2,-0.6
30,30,Wake Forest,ACC,24,16-8  8–5,116.1,98.3,.8709,54.5,47.9,15.5,16.4,26.4,25.6,32,30.3,53.5,48.2,37.3,31.7,38,31.9,68.9,-0.2
31,31,Clemson,ACC,23,16-7  6–6,118.3,100.4,.8683,53.9,48.6,15.1,13.7,29.6,25.4,30.4,32.3,54.4,47.3,35.4,33.8,38.7,40,67,1.9
32,32,Villanova,BE,24,13-11  6–7,113.0,95.9,.8682,50.2,48.5,14.6,16.7,27.6,25.1,28.4,27.7,50.5,48.5,33.3,32.3,47.2,42.4,64.2,-1.3
33,33,Colorado,P12,24,16-8  7–6,116.1,99.0,.8615,54.9,49.8,18.5,16.3,32.4,23.5,37.3,29.6,53.6,49.1,38.7,34,29.6,35.2,69.3,-0.1
34,34,Oklahoma,B12,25,18-7  6–6,112.9,96.5,.8584,53.8,45.7,18,17,30.5,25.2,37.5,32.1,55.3,47.1,34.3,28.9,38.1,37.1,67.6,1.7
35,35,TCU,B12,24,17-7  6–5,116.5,99.7,.8574,53.9,49.9,17.8,21.1,35.5,28.2,35,33.3,54.1,50.2,35.5,32.9,29.7,35.1,70,1.4
36,36,Northwestern,B10,24,17-7  8–5,117.1,100.4,.8539,53.8,51.9,13.6,20.2,25.9,28.6,28.8,41.1,50.7,50.8,39.5,35.8,36.8,38.3,64.4,1.8
37,37,SMU,Amer,23,17-7  8–3,114.1,97.9,.8537,52.5,44.7,17,19,37.9,31.6,27.1,30.6,52.6,44.9,35,29.6,35.4,37.9,67.4,-1.2
38,38,Colorado St.,MWC,23,19-6  7–5,115.0,98.8,.8525,56.2,50.1,15,18,22.9,28,31.4,28.5,58.1,49.7,35.4,33.9,38.8,34.8,66.1,1.9
39,39,Utah,P12,24,15-9  6–7,114.7,98.8,.8478,54.1,49,16.5,15,28.5,26.8,27.6,25,53.8,46.4,36.5,35.7,38.9,37.1,69.9,0.3
40,40,South Carolina,SEC,24,21-3  9–2,114.3,98.6,.8452,51.8,46.6,15.9,15.4,33.8,27.3,31,29.5,52.1,45.6,34.3,32.5,43.4,31.4,62.9,3.8
41,41,Virginia,ACC,25,19-6  10–4,109.3,94.3,.8450,51.1,46,13.3,21,26.3,28.7,26.1,26.9,48.5,45.1,37.8,31.5,32.2,40.4,60.4,1.3
42,42,Washington St.,P12,24,18-6  9–4,112.8,97.4,.8441,52.7,46,15.3,15.9,31.5,25.4,32.5,33.3,52.8,45,35,32,31.4,32,65.4,1.7
43,43,Utah St.,MWC,22,20-4  8–3,114.6,99.0,.8428,53.8,49,16,17.1,30.1,24.3,38,32.7,57.4,52.4,30.8,28.8,32.2,36.6,69.2,2.5
44,44,Xavier,BE,24,13-11  7–6,113.1,97.8,.8420,49.1,47.5,16.3,16.1,33.1,29.3,31.8,30.6,47.8,46.6,34.6,32.7,32.8,35.3,70.8,-0.8
45,45,Cincinnati,B12,24,15-9  4–7,110.6,95.6,.8414,50,46.9,17.4,17,38,24.7,30.1,27.6,50.3,46.2,33.1,32.2,35.2,34.5,67.6,-0.5
46,46,Indiana St.,MVC,25,22-4  13–2,117.6,101.9,.8391,59.7,49.1,16.5,16.1,23.7,24,34.1,25.9,62,49.4,38.3,32.4,50.7,33.8,71,2.2
47,47,Nebraska,B10,25,17-8  7–7,115.8,100.4,.8378,53.1,47.2,16.4,16.6,28.4,30.8,33.9,25.9,51.8,45.2,36.5,33.2,44.3,42.2,68.6,0.8
48,48,Nevada,MWC,24,19-6  6–5,113.0,98.3,.8321,52.1,47.9,14.4,17.8,27.6,28,45.6,32.8,52.6,48.4,34.1,31.6,31.1,41.3,66.8,0.9
49,49,Butler,BE,24,16-9  7–7,115.9,100.8,.8317,52.2,49.5,14.7,15.9,28.7,28.9,29.8,23,51.7,50.2,35.4,32.2,36,38.4,68.8,0.9
50,50,Boise St.,MWC,22,16-8  7–4,112.6,98.3,.8267,50.9,49.7,17.1,17.2,31.4,24.2,34.8,33.2,50.5,52.5,34.4,29.6,39,35.1,66.8,0.4
51,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
52,51,Texas A&M,SEC,24,15-9  6–5,114.1,99.8,.8247,45.5,48.8,14.5,17.3,43.1,28.3,37.8,31.5,47.9,47.4,27.7,33.6,38.5,44.1,64.7,0.2
53,52,Mississippi,SEC,24,18-6  5–6,116.4,101.8,.8238,51.9,49.2,14.9,19.1,29.6,34.9,31.7,28.6,49.3,49.3,38,32.7,33.1,37.4,66.6,2.2
54,53,Florida Atlantic,Amer,24,19-5  9–2,117.1,102.5,.8217,55.1,49.5,15.8,17.7,34.5,29.9,32.7,25.6,55.3,49.4,36.6,33.2,39.1,35.9,67.6,1.7
55,54,North Texas,Amer,21,13-10  6–5,110.0,96.6,.8165,50.3,45.9,19,19.8,35.7,32.6,28.6,37.7,47.3,45.4,36.7,31.3,38.7,35.8,60.5,-3.8
56,55,Providence,BE,25,16-9  7–7,107.3,94.3,.8152,52.2,46.3,17.8,18.1,25.8,27.8,33.3,26.7,54.8,45,32.5,32.5,42.4,33.3,68.7,0.1
57,56,Drake,MVC,25,21-5  12–3,114.0,100.2,.8142,54.9,50.3,14.5,17.9,24.8,22.1,31.6,30.2,56.6,51.2,35,32.6,39.8,40.1,67.9,0.4
58,57,Bradley,MVC,24,17-8  9–5,114.5,100.9,.8100,56.3,48.9,18.2,19,29.2,28.4,27.1,34.1,56.1,47.6,37.7,34.1,42.1,37.6,66.3,-2.4
59,58,UCF,B12,23,13-10  4–7,105.2,93.1,.8035,47.7,46.7,18.2,21.2,33.4,26.3,36.7,38.2,47.7,44.8,31.8,33.2,37.5,38.1,68.8,-1.7
60,59,Virginia Tech,ACC,24,14-10  6–7,114.4,101.2,.8034,54.1,50.4,17.4,17.7,26.2,26.7,34.5,30.4,53.5,50.1,36.5,33.9,42.6,34.8,67.5,-1.5
61,60,Ohio St.,B10,25,14-11  4–10,115.1,101.9,.8029,50.4,49.3,15.2,15.7,32,28.4,32.9,28.8,50.3,47,33.8,35.8,35.7,33.4,65.2,-2.6
62,61,Seton Hall,BE,24,15-9  8–5,111.8,99.1,.7988,49.7,48.7,19.4,17.6,37.5,29.1,31.1,26.9,50.6,47.1,31.8,33.9,30.1,42.1,65.7,-0.5
63,62,Oregon,P12,24,16-8  8–5,114.0,101.2,.7963,52.5,51.2,15.1,18.3,28.8,27,34.4,34.2,51.2,50.7,36.5,34.9,37.6,34.7,68,-0.3
64,63,Pittsburgh,ACC,24,16-8  7–6,112.5,100.0,.7955,50.9,48,14.5,16.7,32.3,23.7,32.5,28.7,50.4,49.9,34.4,30.1,44.9,39.8,66.3,-0.8
65,64,Washington,P12,24,13-11  5–8,115.2,102.4,.7951,53.4,49.9,16.3,16,28.6,29.4,34.3,34.6,54.6,49.5,34,33.8,35.6,34.6,70.8,-2.5
66,65,Miami FL,ACC,24,15-9  6–7,112.8,100.3,.7949,54.3,49.5,17.6,17,29.1,27.2,27.2,21,53.9,52.4,36.6,30.7,39,44.8,69.5,-1.3
67,66,Iowa,B10,24,14-10  6–7,118.3,105.2,.7948,53.1,51.4,13.6,17.5,29.2,30.8,31.6,31.3,53.9,50.8,34.1,35,29.8,36.5,72.4,-1.2
68,67,Richmond,A10,23,17-6  9–1,106.7,95.5,.7818,52.9,45.7,12.6,17.1,17.1,26.3,27,25.8,51.9,46.2,36.4,29.9,35.9,41.5,67,-0
69,68,Maryland,B10,24,13-11  5–8,103.7,92.8,.7803,46.4,45.4,18,19.5,33.3,29.6,41.6,31.4,48.1,43.8,29.1,33.1,38.3,28.7,65.4,-2.4
70,69,Louisiana Tech,CUSA,21,16-8  6–3,109.1,97.7,.7789,50.8,45.2,19.1,17.6,33.4,28,42.6,31.3,49.5,43.3,35.4,32.6,36.4,34.5,65.7,-3.1
71,70,Grand Canyon,WAC,23,22-2  12–1,110.9,99.5,.7770,51.9,46.3,18.4,20.2,35.3,28,46.9,34,52.5,45.6,33.8,31.8,34.7,33.7,68.9,2.1
72,71,Kansas St.,B12,24,15-9  5–6,106.0,95.3,.7711,49.7,46.1,21.5,17.4,34.1,30.8,35.3,30.9,52.1,45.7,31,31.2,42.1,37.9,67.1,-0
73,72,Stanford,P12,23,12-11  7–6,113.2,102.0,.7678,55.8,50.5,18.1,14.8,23.7,25.8,27.7,26.4,53.6,49.9,39.3,34.4,41.4,36.7,70.1,-4
74,73,Samford,SC,23,22-3  11–1,113.5,102.5,.7624,57.6,50,18.2,22.6,31.4,31.6,32.7,36.2,55.1,48.8,40.9,34.5,39.9,39.7,73,1
75,74,LSU,SEC,24,12-12  4–7,112.4,101.5,.7618,53,49.3,18.3,18.8,30.1,32.1,38.4,33.3,52.7,48.2,35.7,33.9,38.3,42.7,70.4,-2.9
76,75,James Madison,SB,24,22-3  9–3,109.4,98.9,.7610,53.5,46.5,14.7,20.8,32.1,27.6,30.7,35.6,54.4,48.6,34.7,28.3,37.7,34.3,71,0.7
77,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
78,76,Georgia,SEC,24,14-10  4–7,110.7,100.1,.7610,50.1,49.3,16.5,17,27.6,30.5,39.6,29.4,48.7,50.2,34.8,32,40.1,37.6,69.1,-1.7
79,77,North Carolina St.,ACC,24,15-9  7–6,109.5,99.5,.7502,49.7,48.9,13.6,19,27.7,28.9,29.6,36.2,49.8,47.8,32.9,33.9,34.6,35.7,68.7,-1.4
80,78,Yale,Ivy,20,16-6  7–0,110.7,100.7,.7497,51.5,50,14.5,16.1,29.5,23.5,27.5,27.3,51.3,48.5,34.5,34.8,35.2,40.4,65.5,-1.3
81,79,Princeton,Ivy,18,17-3  5–2,114.9,104.4,.7496,55,50.3,13.1,16.3,24.4,25.7,27,24,56.8,50.8,35.5,33,49.8,37.4,64.5,1.1
82,80,Florida St.,ACC,24,13-11  7–6,109.2,99.4,.7456,50.1,50.8,16.7,20.7,28.6,31.4,37.9,43.7,51.1,50.5,32,34.3,32,38.9,71,-2.6
83,81,UNLV,MWC,20,13-9  6–4,113.6,103.6,.7439,52.4,51.4,14.7,18.8,27.9,32.6,29.7,30.4,53.6,51.1,33.4,34.6,35.3,36.7,65.7,-2.4
84,82,VCU,A10,24,16-8  8–3,107.7,98.1,.7437,52.2,44.5,18.4,16,27.8,26.8,35.8,35,51.2,45.2,35.7,28.7,43,35,65.4,-2.3
85,83,Minnesota,B10,23,15-8  6–6,109.4,99.8,.7426,54.4,47.6,18,16.6,31.9,28.4,34.8,29,56.1,46.3,34.7,33.9,40,28.8,67.1,-1.6
86,84,Charlotte,Amer,22,15-8  9–2,110.7,101.1,.7376,50.9,47.4,15.7,15.2,27.1,28.3,34.6,30.2,53.2,48.5,31.4,30.4,37.1,36.4,62.7,-2.3
87,85,McNeese St.,Slnd,21,22-3  11–1,112.5,102.8,.7367,54.9,47.8,14.2,22.5,30.7,30.5,39.6,34.6,51.8,45.3,40.6,33.8,33.5,47.7,65.7,0.4
88,86,Syracuse,ACC,24,16-9  7–7,108.7,99.5,.7343,50.3,52.3,16.2,20.8,24.7,31.9,34.9,26.3,50.9,52.9,32.7,34.2,35,37.4,70.8,-0.1
89,87,Penn St.,B10,24,12-12  6–7,110.9,101.5,.7342,50.6,50.7,15.2,21.7,26.8,32.8,35.1,35.1,52,52.7,32.3,31,40.2,32.9,70.3,-3.8
90,88,San Francisco,WCC,25,20-6  9–2,108.6,99.5,.7319,55.1,49,17.7,20.9,31,23.3,26.2,37.2,58.1,48,33.7,33.7,39.9,38.7,67.4,-1
91,89,UC Irvine,BW,24,18-7  11–2,107.0,98.1,.7306,51.7,45.5,17.4,17.9,30.4,28,31.5,34.2,50.7,43.4,36.2,33.3,27.8,31.2,68.2,-1.6
92,90,Indiana,B10,24,14-10  6–7,110.0,100.9,.7306,51.9,48.9,17.2,15.4,27.4,30.4,40.7,33.1,53,47.4,32.8,34.1,27.8,40.5,68.6,-0.5
93,91,St. Bonaventure,A10,23,14-9  5–6,111.5,102.2,.7297,52.2,50.1,15.9,19.4,31.5,27.6,29.2,34.8,51.2,52,35.9,31.5,37.3,39.5,66,-3.2
94,92,Rutgers,B10,23,13-10  5–7,98.3,90.3,.7273,43.7,45.5,16.8,21.7,31.5,30.6,32.7,31.5,43.7,45.6,29,30.3,31.7,39.4,68.3,-1.1
95,93,Memphis,Amer,24,18-6  7–4,111.5,102.4,.7263,52.9,48.8,18.3,19,32.4,33.2,38.4,31.3,52.7,47.3,35.4,33.9,38.4,42.7,71.8,0.4
96,94,George Mason,A10,24,17-8  6–6,111.1,102.4,.7188,53.2,47.7,17.5,15.6,31.3,27.1,37.4,31.7,52.7,44.7,36.1,34.6,37.9,41.2,64.6,-2.5
97,95,Saint Joseph's,A10,24,16-8  6–5,112.6,103.9,.7178,54.5,48.9,16.3,17.8,29.8,29.7,28.8,30.4,53.3,47.8,37.2,33.5,47.2,45.6,69.2,-2.8
98,96,UCLA,P12,23,13-11  8–5,105.2,97.2,.7135,46,48.8,17.2,18.7,30.9,27.4,37.8,35.4,44.9,48.8,32.5,32.4,28.9,43.1,64,-2.9
99,97,Cornell,Ivy,19,17-4  6–1,114.2,105.7,.7076,57.6,51.6,17.9,19.3,26.7,31.9,29.2,32.1,63.9,54.4,33.8,31.9,47.4,42.1,71.9,-0.1
100,98,Michigan,B10,25,8-17  3–11,113.3,105.1,.7034,52.3,52,17.9,13.9,31.8,31.2,32.2,29.5,51,50.8,36.3,36.2,38.5,32.9,67.3,-6.2
101,99,Loyola Chicago,A10,23,17-7  9–2,105.7,98.1,.7018,52.7,46.7,18.3,17,24.7,25.4,33,35.9,52.5,42.7,35.3,35.7,40.6,36.6,68.6,-1.8
102,100,Boston College,ACC,24,14-10  5–8,112.2,104.1,.7017,52.9,50.8,15.1,17.1,26.4,26.9,27,27.1,52.6,49.8,35.7,34.9,36.5,37,67.9,-2.7
103,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
104,101,UNC Wilmington,CAA,21,18-6  9–3,114.2,106.5,.6913,50.8,51.1,12.6,16.2,29.4,29.3,33,33.6,51.2,49.8,33.5,35.6,39.9,37.5,65.8,-1.3
105,102,California,P12,24,10-14  6–7,110.1,102.8,.6879,49.9,50.8,16.5,14.5,29.8,25.5,30.5,33,48.7,49.5,34.3,35.3,41.4,36.4,67.9,-6.2
106,103,Massachusetts,A10,23,15-8  6–5,111.9,104.5,.6865,51.5,49,15.7,19.8,37.4,30.4,36.4,39.8,53.2,46.9,32,35,33.1,38.1,69.3,-3.7
107,104,Akron,MAC,22,18-6  10–1,107.5,100.4,.6854,52.4,48.8,17,17.8,30,25.6,34.7,29.7,54.3,50.1,33.1,31.1,42,36.1,65.3,-1.8
108,105,Southern Illinois,MVC,24,16-9  8–6,110.6,103.4,.6851,53.7,49.2,17.5,16.4,26.6,26,37.7,36.2,53.9,51.5,35.6,29.2,43,30.1,64,-4.2
109,106,UC San Diego,BW,22,15-9  9–3,113.2,105.9,.6819,52.8,50.5,14,17.7,26.5,29.1,32,28.5,52.8,49.3,35.2,35.2,42.8,34.9,65.1,-4.8
110,107,Appalachian St.,SB,23,20-5  10–2,105.8,99.0,.6812,52.4,46,15.4,15.4,29.1,27.4,32.5,21.2,54.9,44.4,31.5,32.8,33.1,32.8,67.4,-0.8
111,108,Duquesne,A10,23,14-10  4–7,106.2,99.5,.6812,49.5,48.5,17,18.9,30,31,34.7,36.7,50,47.8,32.5,33.1,41,34.1,67.2,-3.6
112,109,USC,P12,24,9-15  3–10,109.8,103.2,.6722,51.3,50.2,18.4,18.3,30.8,32.6,33.8,30.4,50.4,46.9,35.2,37,37.5,39.1,69,-6.4
113,110,Western Carolina,SC,22,18-7  7–5,108.3,101.8,.6704,51.5,47,14.2,13.2,28.6,24.4,27.4,31.8,49.3,45.2,36.9,34.5,36.2,28.4,67.7,-3.7
114,111,Oklahoma St.,B12,24,10-14  2–9,105.7,100.0,.6544,50.8,50.7,19,17.1,27.8,25,33.9,27.4,50.7,50.4,34,34.2,44.6,31.3,67.5,-5.8
115,112,Liberty,CUSA,22,16-9  5–5,109.8,104.0,.6509,53.9,50.2,15,17.6,25,25.8,25.6,31.5,55,51.3,35,32,46.4,32.9,64.8,-4
116,113,Louisiana Lafayette,SB,23,16-9  8–4,108.0,102.3,.6503,52.4,50.2,17,20.9,31.3,32.4,28.6,40.9,51.9,55.2,35.6,26.4,36.6,32.2,68.1,-4.7
117,114,Murray St.,MVC,24,10-15  7–7,108.4,102.8,.6485,50,52.7,14,18.8,26,26.3,30,28.1,51.1,52.9,31.9,35,36.6,42.3,64.9,-9.4
118,115,Davidson,A10,22,14-10  4–7,105.0,99.7,.6458,49.1,49.3,15.7,17.2,26.7,26.2,33.9,30.2,50.8,49.3,31.1,32.8,41.5,42.3,65.7,-4.4
119,116,Seattle,WAC,23,14-10  7–6,105.1,100.2,.6347,50,46.6,19,18.1,30.3,26.4,37.8,38.2,49.9,47.6,33.4,29.9,37.2,35.2,67.3,-5.7
120,117,Morehead St.,OVC,21,20-5  11–1,108.2,103.1,.6337,53.6,45.8,19.2,15.3,33.3,27,32.4,34.6,55.9,46.2,33.7,30,43.6,30.8,65,-1.1
121,118,Troy,SB,22,17-8  10–2,107.1,102.1,.6328,49.4,49.3,19.3,20,36.1,29,40.3,37.8,47.2,46.9,35.2,35.9,40.1,35.4,69.6,-4.4
122,119,Arizona St.,P12,24,12-12  6–7,103.3,98.7,.6292,47.6,50.6,14.5,19.8,21.1,29.8,32.5,29.7,48.8,51.6,30.5,32.7,38.4,39.3,69.7,-3.3
123,120,College of Charleston,CAA,24,18-7  9–3,112.6,107.7,.6260,51.5,50.9,14.3,15.6,33.5,27.1,28.3,29.3,53.6,50.9,32.8,33.9,47.9,35.9,71,-3
124,121,High Point,BSth,24,21-5  10–1,115.4,110.4,.6257,52.2,50.7,15.8,13.9,36.7,24.2,46.8,37.1,53.5,49.9,33.3,34.9,38,32.3,68.4,-1.6
125,122,Arkansas,SEC,23,12-11  3–7,106.7,102.1,.6241,49.9,49.5,16.5,15,25.9,29,45.7,35.1,50.8,47.6,32.1,35.2,32.2,35.6,70.4,-3.2
126,123,Eastern Washington,BSky,22,16-8  10–1,110.0,105.4,.6202,56.4,51.1,19.8,16.2,26.3,26.6,38,34.2,56.3,51.5,37.8,33.6,43.1,41.9,70.5,-2.2
127,124,Vermont,AE,23,19-6  9–1,105.9,101.7,.6159,52.5,47.8,13.6,14.1,22.3,23.2,26.3,24.7,54.1,46.7,33.6,33.1,43.9,35.9,63.2,-2
128,125,UAB,Amer,23,16-8  8–3,110.9,106.5,.6154,49.1,50.8,17.1,16.3,35.4,31.1,40,31.4,49.8,50.3,31.6,34.4,31.4,36.9,67.8,-1.9
129,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,Efg%,EfgD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj,WAB
130,126,South Florida,Amer,22,17-5  10–1,108.4,104.3,.6111,51,48.4,15.4,18.8,28.7,29.6,36.7,33.8,49.1,48.9,35.7,31.7,41.4,38.1,67.9,-0.8
131,127,Northern Iowa,MVC,24,13-12  7–7,107.4,103.4,.6084,51.5,52.4,15.6,16.5,22.9,22.7,35.6,31.4,51.7,52.1,34.1,35.1,37.7,40.7,66,-5
132,128,Drexel,CAA,24,15-10  8–4,106.9,102.9,.6079,49.6,46.6,16.8,13.5,34.8,25,29.2,26.7,50.2,46.2,32.2,31.6,32.2,36.8,64,-5.5
133,129,Youngstown St.,Horz,22,18-8  10–5,108.5,104.8,.5994,50.9,49.3,15.3,16.7,32.9,28,29.6,31.2,52.1,47.5,32.9,35.1,42.7,35.5,69.3,-4.4
134,130,Santa Clara,WCC,24,15-10  6–4,109.1,105.5,.5954,53.1,48.3,19.2,14.9,34.4,28.2,31.1,34.1,53.1,48.2,35.5,32.3,39.1,38.5,69.1,-3
135,131,Western Kentucky,CUSA,21,17-7  6–4,104.7,101.4,.5909,51.6,47.7,18.7,18.5,28.8,27.4,31.4,31.9,51.4,49.1,34.6,30.3,30.2,39.2,75.3,-3.5
136,132,St. Thomas,Sum,23,16-10  6–5,107.9,104.6,.5900,53.9,51.1,15,18.8,24.5,27.4,30.8,29.5,55.3,51.5,34.9,33.7,47,38.7,63.4,-6.7
137,133,Tulane,Amer,22,13-10  4–7,111.1,107.7,.5891,55,50.3,14.1,17.9,19.4,33.4,46.5,32.1,56.2,50.6,35.3,33.3,36.4,43.3,72.8,-4.7
138,134,Delaware,CAA,24,16-9  8–4,107.7,104.8,.5781,52.9,48.7,15.3,16,27.6,28.6,31.5,27.8,53,49.7,35.2,31.5,35.4,37.1,67.9,-5.1
139,135,Wichita St.,Amer,23,10-14  2–9,105.4,102.6,.5779,49.5,48.6,17.9,14.9,31.7,29.1,26.7,25.6,50.7,48.1,31.3,33,31.8,39.9,69.1,-8.2
140,136,Chattanooga,SC,23,17-8  9–3,110.5,107.6,.5746,55.5,50.1,16.7,15,26.3,27.4,28.9,28.6,57.5,49,35.6,34.5,49.8,42,66.9,-3.7
141,137,Georgia Tech,ACC,24,10-14  3–10,108.1,105.4,.5732,48.2,48.7,17.4,13.4,32.1,30.5,30.8,33.9,48,49.3,32.4,31.7,40.3,38.5,67.7,-5.2
