,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
31,Trae Broadnax,USCU,SG,10,28.1,12.2,4.9,10.9,0.45,0.6,2.1,0.286,1.8,2.4,0.75,0.7,3.3,4.0,3.3,0.8,0.2,1.8,2.9
32,Johnathan Massie,LONG,SG,12,25.3,12.2,4.0,10.1,0.397,1.3,3.5,0.381,2.8,4.8,0.586,1.3,4.4,5.7,1.7,1.5,0.8,1.6,1.5
33,Josh Corbin,RMU,SG,7,32.6,12.1,3.3,10.9,0.303,2.4,8.1,0.298,3.1,3.7,0.846,0.6,1.9,2.4,3.1,1.0,0.0,1.7,1.4
34,Jamiya Neal,ASU,SG,9,31.6,12.1,4.6,11.2,0.406,1.4,4.9,0.295,1.6,2.3,0.667,0.7,5.2,5.9,1.9,0.9,0.1,1.7,1.8
35,Dhashon Dyson,BTHCK,SG,9,31.8,12.1,4.4,13.8,0.323,1.3,5.3,0.25,1.9,2.9,0.654,0.8,2.1,2.9,1.4,2.6,0.0,1.8,2.3
36,Quinn Denker,IDAHO,SG,10,30.6,12.1,4.4,9.9,0.444,1.7,5.0,0.34,1.6,1.7,0.941,0.6,2.9,3.5,2.4,0.5,0.2,1.9,1.7
37,Justin Moore,VILL,SG,11,26.2,12.1,4.0,10.1,0.396,1.6,5.5,0.3,2.5,2.5,0.964,0.5,2.7,3.2,2.0,0.6,0.2,0.9,1.0
38,Kaden Metheny,LBRTY,SG,11,30.7,12.0,4.4,10.0,0.436,2.4,5.9,0.4,0.9,1.1,0.833,0.4,3.4,3.7,3.1,0.7,0.0,2.0,1.3
39,Ian Martinez,USU,SG,10,25.5,12.0,4.4,8.0,0.55,1.1,3.3,0.333,2.1,2.6,0.808,0.6,2.3,2.9,1.6,1.1,0.9,1.5,2.3
40,D.J. Davis,BTLR,SG,10,28.8,12.0,3.5,8.5,0.412,1.7,5.1,0.333,3.3,3.5,0.943,0.3,3.1,3.4,2.4,1.1,0.0,1.7,1.6
41,Khaleb Wilson-Rouse,NEWOR,SG,10,29.9,12.0,4.2,9.5,0.442,1.2,4.1,0.293,2.4,2.6,0.923,0.6,2.0,2.6,1.9,2.1,0.1,1.9,3.1
42,Lue Williams,TARST,SG,10,32.4,11.9,4.3,10.4,0.413,1.0,3.6,0.278,2.3,3.4,0.676,1.1,3.8,4.9,1.1,1.9,0.5,1.6,2.2
43,Cavan Reilly,DEL,SG,9,29.4,11.9,3.9,9.1,0.427,2.8,6.7,0.417,1.3,1.9,0.706,0.7,1.8,2.4,0.8,1.1,0.1,1.1,1.6
44,Jadon Jones,LBSU,SG,11,29.2,11.8,3.4,8.7,0.385,2.0,6.2,0.324,3.1,3.6,0.85,0.4,3.1,3.5,1.7,2.2,0.7,1.9,2.8
45,Daniss Jenkins,STJ,SG,9,27.8,11.8,4.8,12.2,0.391,1.3,4.8,0.279,0.9,1.0,0.889,1.3,2.7,4.0,5.8,2.2,0.3,2.8,2.8
46,Grant Huffman,DAV,SG,10,32.2,11.7,4.5,9.4,0.479,0.7,2.0,0.35,2.0,2.9,0.69,0.8,4.6,5.4,5.0,1.4,0.3,2.2,2.1
47,Mike James,LVILL,SG,10,31.1,11.7,3.6,8.8,0.409,0.9,3.1,0.29,3.6,4.5,0.8,1.4,4.8,6.2,1.4,0.6,0.0,1.1,2.7
48,Cole Anderson,UCSB,SG,8,32.6,11.6,4.1,10.4,0.398,2.5,6.4,0.392,0.9,0.9,1.0,0.1,2.1,2.3,1.6,0.5,0.0,1.4,1.5
49,Tru Washington,UNM,SG,10,23.2,11.6,4.0,7.7,0.519,1.0,2.2,0.455,2.6,3.5,0.743,1.3,3.7,5.0,2.0,1.7,0.1,1.6,2.2
50,Jalen White,NICH,SG,10,37.8,11.6,3.7,8.2,0.451,2.9,7.2,0.403,1.3,1.5,0.867,0.2,2.3,2.5,0.6,1.7,0.3,0.4,1.2
51,Rahsool Diggins,UMass,SG,7,25.7,11.6,4.0,9.9,0.406,2.1,5.7,0.375,1.4,1.7,0.833,1.0,1.7,2.7,2.3,1.4,0.3,0.7,1.6
52,Shaquil Bender,MAN,SG,9,30.0,11.6,4.6,11.4,0.398,1.8,4.8,0.372,0.7,1.0,0.667,0.7,2.4,3.1,1.7,1.1,0.1,1.7,1.8
53,Kasen Harrison,WIN,SG,11,28.2,11.5,3.7,8.7,0.427,0.9,2.8,0.323,3.2,4.5,0.7,0.5,3.0,3.5,3.7,1.5,0.2,1.6,1.9
54,"Jameer Nelson, Jr.",TCU,SG,8,25.1,11.5,3.9,8.9,0.437,0.6,3.3,0.192,3.1,3.8,0.833,0.3,2.5,2.8,3.9,3.3,0.6,2.0,2.0
55,Allen Betrand,NORF,SG,11,23.4,11.5,4.1,8.5,0.484,1.0,2.6,0.379,2.3,2.6,0.862,0.6,1.7,2.4,0.9,0.8,0.3,1.1,2.3
56,Matteo Picarelli,TEM,SG,9,32.3,11.4,2.9,7.6,0.382,2.6,6.4,0.397,3.1,3.7,0.848,0.3,1.9,2.2,0.8,0.4,0.0,0.4,2.1
57,Derin Saran,UCI,SG,10,18.7,11.4,4.7,8.5,0.553,0.5,1.3,0.385,1.5,2.3,0.652,1.3,2.4,3.7,1.8,0.9,0.2,1.2,1.4
58,Day Day Thomas,CINCY,SG,9,21.9,11.3,4.4,9.6,0.465,1.1,3.3,0.333,1.3,1.8,0.75,0.1,1.9,2.0,2.9,1.9,0.1,1.7,1.9
59,Jack Collins,MONM,SG,10,33.0,11.3,3.7,8.8,0.42,2.1,6.0,0.35,1.8,3.0,0.6,1.8,4.5,6.3,1.5,1.3,0.4,1.9,2.2
60,"Joe Munden, Jr.",FDU,SG,10,21.5,11.3,3.4,9.2,0.37,1.5,4.9,0.306,3.0,4.1,0.732,1.3,2.3,3.6,1.8,1.3,0.4,2.0,3.2
61,Nakyel Shelton,EIU,SG,11,25.1,11.3,4.2,10.1,0.414,1.0,3.6,0.275,1.9,2.5,0.75,1.5,3.2,4.7,1.5,0.5,0.3,2.0,1.7
62,Noah Freidel,JMU,SG,9,29.3,11.2,3.8,8.6,0.442,2.6,5.9,0.434,1.1,1.2,0.909,0.9,3.6,4.4,1.2,0.7,0.8,0.8,2.4
63,Reyne Smith,C of C,SG,9,25.2,11.2,3.3,8.1,0.411,2.8,6.9,0.403,1.8,2.2,0.8,0.3,1.6,1.9,1.3,0.4,0.2,0.9,1.1
64,Darius Burford,ILLST,SG,9,26.9,11.2,4.6,10.9,0.418,0.7,3.7,0.182,1.4,1.8,0.813,0.9,1.6,2.4,1.2,0.9,0.2,1.8,2.2
65,Tyran Cook,VMI,SG,11,24.2,11.2,4.5,10.5,0.426,1.0,2.4,0.423,1.3,1.8,0.7,0.9,1.9,2.8,2.1,0.5,0.1,2.6,1.4
66,Cougar Downing,UALR,SG,11,25.3,11.2,3.2,9.4,0.34,2.0,5.9,0.338,2.8,3.1,0.912,0.5,1.7,2.2,1.0,1.5,0.0,1.4,3.1
67,Raheem Anthony,STTOM,SG,10,27.0,11.1,3.6,7.1,0.507,0.8,1.9,0.421,3.1,4.5,0.689,1.7,3.1,4.8,3.2,0.8,0.1,2.5,2.0
68,Devon Savage,MERRI,SG,11,28.5,11.0,3.5,10.0,0.355,2.4,7.5,0.317,1.5,1.8,0.85,0.9,2.6,3.5,0.8,1.5,0.1,0.8,2.1
69,Tyren Moore,GASO,SG,10,22.8,11.0,3.7,8.6,0.43,1.9,4.9,0.388,1.7,2.1,0.81,0.3,1.6,1.9,2.0,0.9,0.0,2.0,1.8
70,Christian May,TOWS,SG,10,30.4,11.0,3.9,10.3,0.379,1.7,5.3,0.321,1.5,2.6,0.577,1.5,3.4,4.9,0.6,0.5,0.3,1.6,2.1
71,Dian Wright-Forde,TAMU-CC,SG,9,20.4,11.0,4.2,9.3,0.452,0.3,2.2,0.15,2.2,3.3,0.667,1.2,1.3,2.6,1.7,1.2,0.0,1.3,1.8
72,Tre Jackson,WCU,SG,9,32.4,11.0,3.8,10.9,0.347,2.4,7.7,0.319,1.0,1.3,0.75,0.3,3.0,3.3,1.9,1.1,0.1,1.7,2.1
73,Christian Cook,NMSU,SG,11,29.1,10.9,3.7,8.8,0.423,1.5,4.2,0.37,1.9,2.0,0.955,0.4,1.9,2.3,1.4,0.5,0.3,0.5,2.8
74,Hunter-Jack Madden,ACU,SG,10,29.6,10.9,2.9,6.9,0.42,1.6,3.8,0.421,3.5,4.3,0.814,0.9,3.0,3.9,1.8,1.0,0.0,1.1,1.9
75,Alejandro Vasquez,UAB,SG,10,22.6,10.9,3.8,9.3,0.409,1.0,3.2,0.313,2.3,2.6,0.885,1.5,2.3,3.8,1.2,0.5,0.3,0.8,1.7
76,Jay'Den Turner,GAST,SG,9,31.7,10.9,4.0,8.2,0.486,1.2,3.1,0.393,1.7,2.4,0.682,2.7,5.8,8.4,1.0,1.2,0.3,1.1,2.6
77,Blondeau Tchoukuiengo,CALBU,SG,9,27.1,10.9,3.7,6.8,0.541,1.0,2.9,0.346,2.6,4.4,0.575,0.7,1.8,2.4,1.7,0.6,0.1,1.2,1.4
78,Casey Jones,EWASH,SG,9,24.8,10.9,3.2,6.7,0.483,0.6,1.9,0.294,3.9,5.7,0.686,0.9,2.7,3.6,1.8,1.0,0.3,2.3,2.3
79,Hayden Gray,UCSD,SG,10,31.8,10.8,4.2,8.2,0.512,0.5,2.2,0.227,1.9,2.7,0.704,0.9,2.8,3.7,3.0,1.6,0.8,1.9,1.9
80,Isaiah Wyatt,UTSA,SG,10,24.8,10.8,3.3,7.7,0.429,2.4,5.8,0.414,1.8,2.4,0.75,1.4,3.3,4.7,1.4,0.9,0.4,1.4,1.1
81,Trevin Knell,BYU,SG,10,25.5,10.8,3.7,8.2,0.451,2.2,5.7,0.386,1.2,1.8,0.667,0.4,3.8,4.2,2.1,0.8,0.2,0.9,2.2
82,Rob Higgins,ELON,SG,10,28.5,10.8,3.7,7.1,0.521,1.0,2.3,0.435,2.4,2.8,0.857,0.5,1.4,1.9,2.6,0.7,0.0,1.6,1.1
83,Tayton Conerway,TROY,SG,10,18.4,10.8,3.5,7.6,0.461,1.1,2.6,0.423,2.7,4.0,0.675,1.1,1.8,2.9,3.0,1.6,0.0,2.4,2.6
84,John Newman,CINCY,SG,9,26.3,10.8,3.9,7.1,0.547,0.9,2.2,0.4,2.1,2.9,0.731,1.6,3.4,5.0,1.7,1.2,0.2,1.0,2.2
85,Jayden Nunn,BAYL,SG,9,25.8,10.8,3.3,7.3,0.455,1.0,2.4,0.409,3.1,4.0,0.778,0.3,2.2,2.6,2.9,1.2,0.6,1.4,1.4
86,Ty Berry,NWU,SG,9,28.3,10.8,3.9,8.4,0.461,2.1,5.0,0.422,0.9,1.0,0.889,0.4,2.1,2.6,1.4,1.8,0.0,1.0,2.0
87,Dexter Akanno,ORST,SG,8,27.3,10.8,2.6,8.8,0.3,0.9,4.3,0.206,4.6,6.1,0.755,0.3,2.9,3.1,1.5,1.0,0.1,1.8,1.9
88,Tristan Maxwell,HMPTN,SG,7,30.7,10.7,3.9,9.7,0.397,1.6,4.4,0.355,1.4,2.1,0.667,0.3,3.4,3.7,4.1,1.0,0.3,3.1,2.0
89,Kalil Thomas,MRHD,SG,10,29.7,10.7,3.7,8.0,0.463,2.5,5.9,0.424,0.8,1.0,0.8,0.8,3.6,4.4,1.3,0.5,0.4,1.3,2.2
90,Miguel Tomley,IDHST,SG,10,26.7,10.7,3.9,9.0,0.433,2.2,6.0,0.367,0.7,1.2,0.583,0.2,2.6,2.8,2.2,0.8,0.2,1.7,0.5
91,"Steven Verplancken, Jr.",WEBER,SG,9,30.6,10.7,3.3,9.9,0.337,2.2,6.6,0.339,1.8,1.9,0.941,0.6,2.7,3.2,0.8,0.7,0.0,0.8,1.4
92,Sean Houpt,W&M,SG,6,27.0,10.7,3.2,8.5,0.373,1.8,6.2,0.297,2.5,2.7,0.938,0.2,1.5,1.7,0.8,0.5,0.0,0.7,1.3
93,Darius Brown II,USU,SG,11,33.1,10.6,3.6,8.7,0.417,1.8,4.5,0.408,1.5,1.8,0.85,0.4,3.0,3.4,7.9,1.7,0.4,1.2,1.1
94,Lance Jones,PURD,SG,10,26.4,10.6,3.7,8.7,0.425,1.8,5.1,0.353,1.4,2.0,0.7,0.3,2.3,2.6,2.2,1.7,0.1,1.7,1.9
95,DaJuan Gordon,UTA,SG,9,28.6,10.6,3.7,10.4,0.351,1.2,5.0,0.244,2.0,2.7,0.75,1.8,6.6,8.3,3.1,1.7,0.1,3.3,2.9
96,Tai Strickland,LIU,SG,9,28.0,10.6,3.6,8.7,0.41,0.8,2.8,0.28,2.7,3.6,0.75,0.6,2.9,3.4,1.4,1.4,0.3,2.4,2.9
97,Bryce Johnson,UMBC,SG,11,22.6,10.5,3.5,7.8,0.453,1.3,3.5,0.368,2.2,3.0,0.727,0.4,1.7,2.1,1.8,0.7,0.4,1.0,2.4
98,Julian Larry,INDST,SG,10,31.9,10.5,3.7,6.6,0.561,1.3,2.1,0.619,1.8,2.5,0.72,0.3,2.5,2.8,3.6,1.4,0.3,1.4,2.3
99,Jayden Jackson,NAU,SG,10,29.4,10.5,3.9,8.2,0.476,0.2,1.6,0.125,2.5,3.5,0.714,1.4,2.4,3.8,2.0,0.9,0.2,1.0,3.7
0,Noa Gonsalves,UTECH,SG,10,36.5,10.5,3.9,9.0,0.433,1.6,5.0,0.32,1.1,1.2,0.917,0.2,2.6,2.8,1.9,1.3,0.1,1.4,1.9
1,"Jeremiah Gambrell, Jr.",ALCST,SG,8,24.3,10.5,3.5,8.8,0.4,2.3,5.1,0.439,1.3,1.8,0.714,0.1,1.4,1.5,0.8,0.6,0.1,0.8,0.6
2,D.Q. Nicholas,GWU,SG,11,26.3,10.5,3.6,9.9,0.367,1.1,3.6,0.3,2.1,3.3,0.639,0.6,2.7,3.4,2.8,0.6,0.2,1.4,1.4
3,Chase Hunter,CLEM,SG,9,30.3,10.4,3.8,9.8,0.386,1.3,4.1,0.324,1.6,1.9,0.824,0.3,2.1,2.4,3.6,0.3,0.2,1.9,2.2
4,Dan Petcash,BNGH,SG,7,30.4,10.4,3.7,7.6,0.491,1.6,4.6,0.344,1.4,1.6,0.909,0.4,4.1,4.6,1.9,0.7,0.1,1.0,1.6
5,Jorell Saterfield,PORTL,SG,10,31.1,10.4,3.6,9.7,0.371,2.0,6.0,0.333,1.2,1.6,0.75,0.6,4.5,5.1,3.0,1.0,0.4,1.3,1.1
6,Kobe Johnson,WVU,SG,9,35.0,10.3,3.9,9.6,0.407,0.6,2.6,0.217,2.0,2.3,0.857,0.4,3.1,3.6,3.3,0.9,0.8,1.7,0.7
7,A.J. Hoggard,MCHST,SG,9,26.3,10.3,3.6,9.3,0.381,0.6,2.2,0.25,2.7,3.4,0.774,0.6,2.9,3.4,4.3,0.9,0.1,1.9,2.3
8,Davion Bailey,BLLST,SG,6,27.5,10.3,3.7,8.8,0.415,2.2,4.7,0.464,0.8,0.8,1.0,0.3,2.7,3.0,1.3,1.3,0.0,0.3,1.0
9,Dean Noll,SB,SG,10,29.2,10.3,3.8,9.8,0.388,1.6,4.3,0.372,1.1,1.9,0.579,0.4,2.2,2.6,1.6,2.0,0.1,1.4,2.2
10,Brandon Newman,WKU,SG,11,23.5,10.3,3.4,9.2,0.366,1.4,4.9,0.278,2.2,3.0,0.727,0.8,5.4,6.2,1.5,1.5,0.2,1.5,1.8
11,Joe Pridgen,NEU,SG,8,28.5,10.3,4.1,8.8,0.471,0.9,2.8,0.318,1.1,1.6,0.692,1.3,3.8,5.0,2.3,1.0,0.6,1.8,1.0
12,Xavier Dusell,FRSNO,SG,9,29.3,10.2,3.2,7.7,0.42,2.6,5.9,0.434,1.2,1.3,0.917,0.2,2.2,2.4,1.0,1.1,0.1,0.7,1.1
13,Nick Johnson,WIN,SG,11,26.3,10.2,3.2,7.7,0.412,1.0,3.0,0.333,2.8,4.8,0.585,1.3,2.5,3.8,1.6,1.5,0.2,1.2,1.4
14,Brody Peebles,LBRTY,SG,11,20.0,10.2,3.8,7.9,0.483,1.4,4.1,0.333,1.2,1.3,0.929,0.8,1.4,2.2,0.9,0.2,0.0,0.9,1.1
15,Fousseyni Traore,BYU,SG,6,20.3,10.2,4.2,6.5,0.641,0.3,0.5,0.667,1.5,1.5,1.0,2.0,3.5,5.5,2.0,1.0,0.5,1.7,1.7
16,K'Jei Parker,FAMU,SG,7,34.7,10.1,3.9,11.4,0.338,0.9,3.1,0.273,1.6,1.7,0.917,0.4,3.9,4.3,3.7,1.4,0.0,2.0,2.3
17,Jared Frey,SB,SG,9,28.2,10.1,3.3,7.7,0.435,2.4,5.7,0.431,1.0,1.3,0.75,0.0,2.8,2.8,2.9,0.6,0.0,1.2,1.4
18,Donavan Yap,FRSNO,SG,9,24.3,10.1,3.0,7.1,0.422,1.4,3.2,0.448,2.7,2.9,0.923,0.2,1.3,1.6,2.8,0.3,0.0,2.0,2.0
19,Maxwell Land,USA,SG,9,31.1,10.1,3.4,8.7,0.397,1.0,4.1,0.243,2.2,2.9,0.769,0.3,3.1,3.4,0.8,0.6,0.4,1.3,1.7
20,Jaxon Brenchley,DEN,SG,11,27.7,10.1,3.7,7.2,0.519,0.4,1.6,0.222,2.3,3.5,0.658,1.2,4.2,5.4,3.2,1.1,0.4,0.8,1.2
21,Nik Graves,CHAR,SG,9,26.7,10.0,3.2,5.7,0.569,0.7,1.9,0.353,2.9,3.7,0.788,0.7,2.9,3.6,3.0,0.8,0.1,0.9,2.8
22,Connor Kochera,DAV,SG,10,25.0,10.0,3.9,6.8,0.574,1.4,3.4,0.412,0.8,1.1,0.727,0.2,2.5,2.7,1.0,0.7,0.0,1.1,0.2
23,Geoff Sprouse,AMERU,SG,11,21.8,10.0,3.2,8.0,0.398,2.3,6.4,0.357,1.4,1.5,0.938,0.5,1.9,2.5,1.5,0.4,0.0,0.9,1.0
24,Quentin Jones,POLY,SG,10,32.0,10.0,3.9,9.4,0.415,0.8,2.0,0.4,1.4,2.2,0.636,0.5,3.6,4.1,1.3,1.5,0.7,1.5,2.2
25,Kario Oquendo,OREG,SG,9,18.0,10.0,3.6,6.1,0.582,0.7,1.3,0.5,2.2,3.8,0.588,0.8,1.6,2.3,1.2,0.2,0.8,0.7,2.1
26,Julian Hammond III,COLO,SG,9,22.9,10.0,3.7,6.4,0.569,1.6,3.4,0.452,1.1,1.6,0.714,0.7,1.0,1.7,2.6,0.4,0.2,1.8,2.2
27,Myles Che,CHATT,SG,9,22.8,10.0,3.4,6.6,0.525,0.8,2.6,0.304,2.3,3.0,0.778,0.3,2.1,2.4,2.4,1.2,0.0,2.1,2.9
28,Jayden Dawson,L-IL,SG,7,18.7,10.0,3.4,7.7,0.444,2.7,5.6,0.487,0.4,0.6,0.75,0.0,2.7,2.7,1.4,1.1,0.4,0.7,2.0
29,Max Rice,BOISE,SG,10,27.2,10.0,3.2,9.4,0.34,1.7,5.4,0.315,1.9,2.2,0.864,0.4,2.4,2.8,1.3,0.8,0.0,1.8,2.0
30,Elvin Edmonds IV,BUCK,SG,4,25.8,10.0,3.8,8.0,0.469,1.0,3.5,0.286,1.5,2.0,0.75,0.3,1.8,2.0,2.3,1.5,0.0,1.5,2.0
31,Devin Askew,Cal,SG,3,32.7,10.0,3.0,8.0,0.375,0.7,3.7,0.182,3.3,3.7,0.909,1.3,4.3,5.7,3.0,0.3,0.0,3.0,2.7
32,Mike Mitchell,MINN,SG,11,25.0,9.9,3.7,8.7,0.427,1.9,5.4,0.356,0.5,0.6,0.857,0.5,2.2,2.7,2.7,1.3,0.2,2.0,1.5
33,"Marcus Fitzgerald, Jr.",TNST,SG,11,29.1,9.9,3.3,10.0,0.327,1.2,4.5,0.265,2.2,3.1,0.706,1.0,1.8,2.8,3.1,1.4,0.0,2.5,1.2
34,Brett Thompson,YSU,SG,10,28.2,9.9,3.3,8.1,0.407,1.3,4.1,0.317,2.0,2.6,0.769,0.9,2.4,3.3,2.7,1.2,0.1,1.1,1.3
35,John Blackwell,UWISC,SG,10,18.3,9.9,2.8,5.6,0.5,1.1,2.1,0.524,3.2,3.7,0.865,1.1,2.5,3.6,0.7,0.4,0.0,0.5,1.2
36,Koren Johnson,UWASH,SG,9,22.4,9.9,3.7,8.6,0.429,1.2,3.6,0.344,1.3,2.1,0.632,0.3,0.9,1.2,2.0,0.9,0.4,1.1,1.8
37,Dylan Andrews,UCLA,SG,7,31.9,9.9,4.1,9.3,0.446,1.3,4.4,0.29,0.3,0.6,0.5,0.3,1.4,1.7,4.3,0.9,0.1,1.6,1.1
38,Nimari Burnett,MICH,SG,10,30.9,9.8,3.3,8.6,0.384,1.8,5.1,0.353,1.4,1.8,0.778,0.8,3.6,4.4,2.5,0.8,0.5,1.5,2.3
39,P.J. Carter,UTSA,SG,10,23.3,9.8,3.8,8.7,0.437,1.3,3.5,0.371,0.9,1.5,0.6,0.4,1.4,1.8,1.1,0.5,0.2,0.9,1.2
40,Caleb Mills,MEMP,SG,9,26.2,9.8,3.0,7.2,0.415,0.9,2.2,0.4,2.9,3.7,0.788,0.6,3.2,3.8,1.8,0.8,0.3,1.0,2.7
41,Mikal Dawson,AKR,SG,9,23.8,9.8,3.4,8.8,0.392,2.4,7.0,0.349,0.4,1.1,0.4,0.8,2.0,2.8,1.4,0.8,0.1,1.6,1.4
42,Trey Campbell,UNI,SG,11,26.1,9.7,3.6,6.9,0.526,2.0,3.6,0.55,0.5,0.8,0.556,0.5,1.8,2.3,0.8,1.0,0.1,1.1,1.5
43,Augustas Marciulionis,STMRY,SG,10,29.6,9.7,3.4,8.7,0.391,0.9,3.8,0.237,2.0,2.8,0.714,0.6,2.1,2.7,2.7,1.4,0.3,1.7,2.2
44,Ja'Sean Jackson,LAMAR,SG,9,23.6,9.7,3.0,7.0,0.429,1.7,3.8,0.441,2.0,2.4,0.818,0.1,1.9,2.0,2.6,1.0,0.2,1.2,1.9
45,Will Richardson,FORD,SG,9,23.7,9.7,2.9,8.7,0.333,1.2,4.3,0.282,2.7,4.2,0.632,0.8,1.0,1.8,1.3,0.9,0.0,1.2,2.2
46,Chase Johnston,FGCU,SG,9,29.0,9.7,3.4,11.1,0.31,2.2,7.8,0.286,0.6,0.7,0.833,0.1,2.3,2.4,1.0,0.2,0.2,1.0,2.4
47,Jacari White,NDSU,SG,11,26.0,9.6,3.5,7.6,0.452,1.9,4.4,0.438,0.8,1.0,0.818,0.4,3.2,3.5,1.6,0.8,0.2,0.7,1.5
48,Tyeree Bryan,SCU,SG,11,23.6,9.6,3.7,7.5,0.494,1.5,3.3,0.444,0.7,1.4,0.533,1.0,2.0,3.0,0.6,0.4,0.3,1.1,1.5
49,Brent Davis,CHIST,SG,13,31.5,9.6,3.2,7.1,0.446,0.7,3.5,0.2,2.6,3.5,0.756,1.5,2.0,3.5,0.9,2.6,0.2,1.7,3.5
50,Chase Cormier,WOFF,SG,10,22.1,9.6,3.1,5.3,0.585,2.0,3.7,0.541,1.4,1.4,1.0,0.4,1.9,2.3,1.2,0.4,0.0,0.3,1.8
51,Christian Jones,UIC,SG,10,30.8,9.6,3.8,9.5,0.4,0.8,2.4,0.333,1.2,1.9,0.632,0.7,2.6,3.3,4.6,1.3,0.4,2.7,1.7
52,Antonio Thomas,UE,SG,9,24.3,9.6,3.0,6.1,0.491,0.6,1.4,0.385,3.0,3.7,0.818,0.6,1.9,2.4,2.6,1.6,0.1,2.0,1.1
53,Jayden Williams,DART,SG,9,27.9,9.6,3.0,6.6,0.458,2.2,4.8,0.465,1.3,1.9,0.706,0.2,2.7,2.9,0.7,0.7,0.6,2.1,2.6
54,Garrett Tipton,BELL,SG,11,26.2,9.5,3.4,8.5,0.398,2.2,4.7,0.462,0.6,0.6,1.0,0.5,2.7,3.3,1.2,0.5,0.2,1.2,2.3
55,Jean Aranguren,IONA,SG,10,20.7,9.5,3.1,5.8,0.534,1.2,2.4,0.5,2.1,2.9,0.724,1.4,2.8,4.2,1.5,1.4,0.2,1.7,1.8
56,Tyler Bertram,ALBNY,SG,10,23.6,9.5,3.3,8.0,0.413,1.9,5.9,0.322,1.0,1.2,0.833,0.4,2.6,3.0,1.7,0.5,0.1,0.7,1.4
57,Alec Woodard,SELU,SG,10,26.1,9.5,3.6,7.9,0.456,1.3,3.5,0.371,1.0,1.3,0.769,1.3,2.6,3.9,1.1,1.4,0.0,1.6,3.0
58,Quentin Diboundje,ECAR,SG,10,25.7,9.5,3.3,8.0,0.413,1.2,4.3,0.279,1.7,3.2,0.531,1.2,2.2,3.4,0.6,0.7,0.3,1.1,1.9
59,T.J. Caldwell,MISS,SG,9,28.0,9.4,3.2,6.9,0.468,1.2,2.8,0.44,1.8,2.3,0.762,0.9,2.9,3.8,1.3,0.7,0.0,1.3,1.8
60,Alahn Sumler,CHASO,SG,9,25.3,9.4,3.1,8.4,0.368,1.6,4.8,0.326,1.7,2.4,0.682,0.1,1.6,1.7,1.4,0.7,0.1,1.4,2.3
61,Dez White,APSU,SG,12,33.8,9.4,3.1,8.8,0.349,2.3,7.1,0.318,1.0,1.1,0.923,1.0,1.8,2.8,1.3,1.0,0.0,0.9,2.0
62,Kentrell Garnett,LA,SG,10,30.5,9.4,3.5,7.8,0.449,2.2,5.5,0.4,0.2,0.2,1.0,0.1,1.7,1.8,1.6,1.6,0.1,0.8,1.5
63,"Jay Heath, Jr.",GTOWN,SG,10,27.2,9.4,3.2,8.3,0.386,1.7,4.4,0.386,1.3,1.9,0.684,0.3,3.1,3.4,2.6,0.7,0.1,1.4,1.7
64,Zaire Williams,WAGNR,SG,9,24.8,9.3,2.8,7.9,0.352,1.7,5.6,0.3,2.1,3.3,0.633,0.2,1.9,2.1,1.2,1.3,0.0,1.1,2.0
65,Chuck Bailey III,UE,SG,9,18.2,9.3,3.0,6.8,0.443,0.7,1.9,0.353,2.7,3.4,0.774,0.7,1.9,2.6,0.9,0.3,0.1,1.4,1.9
66,Will Johnston,LOYMR,SG,10,23.8,9.3,3.2,7.8,0.41,1.6,4.7,0.34,1.3,1.4,0.929,0.4,2.7,3.1,2.7,0.9,0.1,1.7,1.9
67,Harold Woods,NEU,SG,10,21.4,9.3,3.3,5.2,0.635,0.4,1.0,0.4,2.3,3.2,0.719,1.7,2.9,4.6,0.2,0.3,0.2,1.6,1.9
68,Jamar Franklin,GASO,SG,10,20.8,9.3,3.2,8.2,0.39,1.8,4.7,0.383,1.1,1.2,0.917,0.5,2.1,2.6,0.0,0.9,0.2,1.6,1.2
69,Nazir Williams,COR,SG,8,22.4,9.3,3.3,6.0,0.542,0.9,2.8,0.318,1.9,2.6,0.714,0.3,3.9,4.1,2.4,0.6,0.0,2.9,1.8
70,Brennan Rigsby,OREG,SG,9,24.7,9.2,3.6,6.6,0.542,1.7,3.2,0.517,0.4,0.7,0.667,0.7,2.6,3.2,1.3,0.6,0.1,0.9,1.3
71,Curtis Jones,IWAST,SG,10,23.2,9.2,3.3,8.9,0.371,1.7,5.4,0.315,0.9,1.4,0.643,0.5,3.0,3.5,2.2,1.6,0.1,0.8,1.7
72,Louis Lesmond,HAR,SG,10,31.9,9.2,3.1,8.7,0.356,2.5,6.8,0.368,0.5,0.6,0.833,0.4,2.4,2.8,0.8,0.4,0.5,0.8,1.3
73,Naim Miller,NEWHA,SG,10,25.7,9.2,2.8,8.8,0.318,2.0,5.8,0.345,1.6,1.7,0.941,0.6,2.5,3.1,1.5,0.5,0.0,1.3,0.8
74,Tre' Williams III,TULAN,SG,7,25.0,9.1,3.3,6.7,0.489,0.7,2.3,0.313,1.9,3.0,0.619,0.0,2.7,2.7,2.3,1.1,0.0,1.3,1.7
