,Player,Team,Pos,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
32,Isaiah Stevens,COLST,PG,10,33.6,17.7,6.4,12.3,0.52,1.4,3.5,0.4,3.5,4.3,0.814,0.6,2.2,2.8,7.5,1.6,0.1,2.7,1.4
33,"Dominique Daniels, Jr.",CALBU,PG,9,32.2,17.4,5.6,14.4,0.385,2.4,6.9,0.355,3.9,4.7,0.833,0.7,0.9,1.6,2.7,0.8,0.0,1.4,1.2
34,Jahmir Young,UMD,PG,10,32.8,17.2,5.0,12.8,0.391,1.8,5.9,0.305,5.4,5.9,0.915,0.8,2.5,3.3,4.2,1.6,0.5,3.3,1.6
35,Kaleb Higgins,CSUB,PG,9,30.8,17.1,6.4,14.9,0.433,1.3,4.6,0.293,2.9,3.6,0.813,0.4,1.8,2.2,3.8,1.2,0.0,2.1,1.9
36,Wade Taylor IV,TAMU,PG,10,31.3,17.1,5.6,15.0,0.373,1.7,6.7,0.254,4.2,5.3,0.792,0.3,2.8,3.1,4.9,2.2,0.1,3.5,2.8
37,Kevin Miller,WF,PG,9,30.8,17.0,6.1,12.8,0.478,1.1,3.4,0.323,3.7,4.7,0.786,0.6,2.7,3.2,3.9,1.7,0.1,2.2,1.8
38,Zion Harmon,BTHCK,PG,9,31.1,17.0,5.9,13.9,0.424,1.7,6.7,0.25,3.6,3.9,0.914,0.4,1.8,2.2,4.1,2.0,0.0,2.6,2.0
39,James Bishop IV,GW,PG,11,33.6,16.9,5.5,12.7,0.429,1.5,4.3,0.362,4.5,5.0,0.891,0.2,2.7,2.9,4.7,0.7,0.3,3.5,1.4
40,Honor Huff,CHATT,PG,9,32.7,16.9,5.3,12.7,0.421,3.1,8.6,0.364,3.1,4.2,0.737,0.2,2.8,3.0,2.8,1.6,0.1,2.0,1.8
41,Sebastian Thomas,ALBNY,PG,10,32.5,16.8,5.7,13.6,0.419,1.2,4.3,0.279,4.2,5.3,0.792,1.4,2.9,4.3,4.2,1.3,0.2,2.9,1.7
42,Travis Evee,RICE,PG,10,31.0,16.8,5.7,13.6,0.419,2.0,6.3,0.317,3.4,4.1,0.829,0.1,3.1,3.2,1.9,1.6,0.1,1.5,1.0
43,Dejour Reaves,NOCOL,PG,9,34.9,16.8,5.8,13.0,0.444,1.8,5.4,0.327,3.4,4.1,0.838,0.7,3.3,4.0,1.6,1.3,0.2,2.2,1.2
44,Jaylin Hunter,OHIO,PG,9,34.0,16.7,5.4,14.0,0.389,1.6,5.8,0.269,4.2,5.4,0.776,0.8,3.7,4.4,4.6,1.8,0.2,2.2,2.0
45,Jalen Cone,Cal,PG,9,38.8,16.7,5.0,14.0,0.357,3.6,10.7,0.333,3.1,3.7,0.848,0.4,2.2,2.7,2.3,0.8,0.2,1.8,1.3
46,Marcus Williams,SANFR,PG,11,31.5,16.6,6.7,13.9,0.484,1.9,5.6,0.339,1.3,1.8,0.7,0.7,2.5,3.3,2.6,1.5,0.3,2.4,1.5
47,Kanye Clary,PENST,PG,10,29.0,16.5,6.2,13.0,0.477,1.0,3.5,0.286,3.1,3.9,0.795,0.5,2.5,3.0,2.4,1.3,0.1,2.4,1.4
48,Mika Adams-Woods,STBN,PG,9,29.4,16.3,6.0,9.8,0.614,2.1,4.1,0.514,2.2,2.6,0.87,0.4,2.9,3.3,4.3,0.4,0.3,1.6,1.1
49,Skyy Clark,LVILL,PG,10,34.6,16.3,5.2,13.0,0.4,1.5,5.1,0.294,4.4,5.5,0.8,0.3,2.6,2.9,2.2,1.0,0.1,3.2,2.6
50,Ahmad Robinson,NEWHA,PG,11,27.7,16.3,5.1,11.9,0.427,1.3,2.7,0.467,4.8,6.5,0.736,0.6,3.5,4.2,5.0,1.5,0.1,2.5,2.7
51,Tylor Perry,KSU,PG,10,36.6,16.2,4.1,11.3,0.363,2.8,8.7,0.322,5.2,5.6,0.929,0.8,2.7,3.5,5.5,1.2,0.1,2.0,2.2
